"","G_gas","G_coal_brown","G_coal_hard","G_bio","G_hydro","G_nuclear","G_wind_on","G_wind_off","G_pv","G_otherRE","G_phes","G_otherCONV"
"74",1058.75,13157,2631.5,4425.25,1134.25,10432.25,13092.25,2593.5,0,106,14.75,3673
"75",1108.75,12533.75,2814.75,4424,1120.75,10425,12443.25,2596.75,0,106,17.75,3805.25
"76",1164.25,12193.5,3132.5,4425,1111,10311.25,11812,2597.25,0,106,6.25,3514.5
"77",1229.75,11859,4460,4421,1167.5,10259.5,11017.5,2604.5,0,106,24.25,3586
"78",1405.75,13894.25,5401.25,4440.75,1149.75,10150,10563.5,2611.25,0,106,0,4405.5
"79",1578.5,15353,6870.25,4424.5,1134.5,10187,10655,2629,0,106,444.75,5402.5
"80",1832.75,16433.75,9122.5,4431.5,1191.5,10566.75,10438,2653.25,0,106,2140.75,6084.75
"81",2518.5,16943.75,11547.5,4452.5,1169.5,10601,10208.5,2664.75,71,106,2348.75,6609
"82",3327.75,17195.25,12334.75,4469.25,1182.75,10610.5,9547.75,2657.25,532.5,106,3092.75,6794
"83",3690.5,17233,13155.5,4483.25,1266.75,10605.5,8797.25,2661,1349.75,106,2728.25,6865.75
"84",4075.25,17121.75,13779.5,4487,1279.5,10614.25,7915.25,2665.5,1998.25,106,1057,6922.75
"85",4266.5,16656,13515.75,4485.5,1301.5,10600.5,7510.5,2661.75,2231,106,2153.75,6885
"86",4650.5,16662.5,13539,4467.5,1321.25,10602.5,7107.25,2664.5,2005.25,106,1560.5,6854.25
"87",4738.25,16642.5,13715,4470.25,1321.25,10603.75,7079.75,2674,1297.5,106,1537.75,6298.5
"88",4516.5,16896.5,13808.75,4476,1315,10602.25,7333.75,2681,536.25,106,706.5,6181.5
"89",4716.25,16823.25,13937.75,4474,1325.5,10581.5,7623,2669.5,57.5,106,795,6350.5
"90",5258.5,16792.75,14019.25,4489.25,1378.25,10569.75,8240.25,2680.5,0,106,2134.75,6952.25
"91",5078.25,17120.75,14314.75,4493.5,1298.5,10572,8422.25,2673.75,0,106,1875.25,6925.25
"92",4584.75,17175.25,14948.75,4493.5,1271.5,10557.25,8178.75,2681.75,0,106,791.5,6775
"93",3234.25,17321.5,15315.5,4507,1269.25,10550.5,8003.5,2685.75,0,106,690.5,6224
"94",2727.25,17405.25,15026.75,4497.25,1253.25,10554.75,7597,2686.75,0,106,200,5807.25
"95",1702,17235,14260.5,4479.75,1261.75,10543.25,7289,2685,0,106,340.75,5464.5
"96",1571.5,16967.75,11987,4469.75,1284.5,10552,6988,2687,0,106,51.75,4521.75
"97",1304,16894,10019.5,4442.5,1302.25,10548,6841.25,2687.5,0,106,16.75,4239.5
"98",1317,16560.25,9160,4413.25,1330.5,10562.25,6625.75,2678.75,0,106,0,3838.25
"99",1321,16542.75,7729.25,4440.75,1311.75,10554,6519.5,2686,0,106,32.5,4220.75
"100",1320.25,16209.25,7159.25,4438.5,1318.25,10555.75,6502.25,2688.25,0,106,16.25,4165.25
"101",1325.75,16858,7500.25,4442.25,1329.25,10541,6568,2691.25,0,106,6.25,4112.25
"102",1391.5,17308.5,9305.75,4444,1315.25,10537.25,6689.5,2697.25,0,106,0,4362
"103",1795,17248,12436.75,4431.25,1282.75,10569.5,6686.5,2691.25,0,106,108.25,5309.25
"104",2328,17256.5,15147.75,4429.25,1209.25,10606.75,6638.5,2683.75,0,106,839.25,6216.5
"105",2536.25,17352,16220,4431.25,1217.25,10604.75,6563.25,2687,75.5,106,1225.25,6755.25
"106",2457.75,17244,16556.75,4409.75,1218.75,10610.25,6434.5,2651.5,602.75,106,963.75,6615.25
"107",2525.25,17010.25,16721.75,4419.75,1216,10606,6203,2593.5,1670.25,106,1411,6510.25
"108",2591,16571.5,16948.5,4426.75,1207.25,10604.25,5835.75,2533.25,2496.75,106,1327.75,6421.25
"109",2682,16622.75,17042.5,4444,1199.25,10597.25,5566.25,2521,2936.5,106,691.75,6431.25
"110",2697,16614.5,17211.25,4432,1189.25,10595.25,5380,2512.75,2422.75,106,457,6461.75
"111",2752,16597.5,17028,4436.25,1179.25,10601,5448,2524.25,1610.5,106,1338.25,6292
"112",2769.25,16169,17009.25,4448.5,1211.75,10602,5547.5,2505.5,673.25,106,2144,6366.25
"113",3254.25,15676.5,17014.25,4459.5,1387.25,10603,5609.25,2503.5,62.25,106,2704.5,6428.75
"114",3672.25,15594.25,17417.5,4457.25,1347.25,10597.5,5848.75,2519.5,0,106,2673.25,6763
"115",3551.75,15628.5,17449.75,4462,1305,10602.25,6070.5,2551.5,0,106,1928.75,6798
"116",3172.75,15537,17426.25,4443.5,1315.75,10593.25,5933.25,2593.25,0,106,2847,6912.25
"117",2929.5,15198.5,17169.5,4416.25,1233.25,10591,5852.5,2557,0,106,1008,6783.25
"118",2319.5,15129.5,16744,4404.5,1215,10589.25,5650,2535,0,106,311.5,6520
"119",2083.75,15009.25,15675,4379.5,1214,10594,5475.75,2524.25,0,106,161.5,5898
"120",1443.5,15146.75,13953.75,4353,1235.75,10574.5,5478,2489.5,0,106,335.25,5436.25
"121",1352.5,15277.75,12246.5,4333.5,1205.25,10567.5,5231.75,2491.25,0,106,17,4592.25
"122",1361.25,15260.25,11274.5,4309,1182.5,10574,5060.25,2506,0,106,14.75,4283
"123",1320.75,15195,10680,4375.75,1178,10579.25,4733.75,2529.5,0,106,0,4192.75
"124",1276.25,15132.25,10321.25,4353.25,1159.25,10571,4661.75,2550.75,0,106,11.75,4290.75
"125",1272,15299.25,10998.5,4365.5,1161.5,10538.75,4613.25,2549.75,0,106,13,4013
"126",1332.5,15522.75,12016.75,4392.5,1137.5,10580.75,4810.5,2555.75,0,106,23.25,4166.25
"127",2101.75,15714.75,13896.5,4385.25,1150.5,10604.75,4581.75,2624.75,0,106,43.5,5439.5
"128",3044.5,15776.25,15663.5,4392,1164,10776.75,4622.75,2642,0,106,533,6219.25
"129",3429,15804,16194,4384.75,1149,10780.75,4517,2652,127,106,814.5,6603.25
"130",3635.75,15753.5,16881.5,4383.25,1147.75,10788,4152,2653.5,769,106,540.75,6559
"131",3946.5,15899.5,17033.25,4386.75,1156.5,10790.25,3988.5,2646.75,1817.25,106,987.5,6838.25
"132",4123.75,15897,17144.75,4385,1167.75,10791.25,3697.5,2574.25,2721,106,1446.25,7128.5
"133",4113,15922.25,16970.75,4395.75,1220,10786.25,3093.75,2577.75,2820.25,106,1504.25,6930.75
"134",4033.5,15861.5,16885.75,4405.75,1172,10779,2798.25,2547.25,2325.25,106,927.25,6946
"135",4190.75,15932.75,17138.75,4418.5,1182.25,10786.25,2593.25,2583.75,1463.25,106,768,6798.75
"136",4272.25,15952.5,17225.25,4422,1187,10794.5,2732,2615,509.5,106,932,6778.25
"137",4169.5,15841.25,17454.5,3804.75,1098.25,10788.25,2966,2619.75,39.75,106,1026.75,6726.25
"138",4335.5,15936.75,17875,3826.25,1071.5,10789.5,3412.25,2606.25,0,106,2604.25,6325
"139",4390.75,15914.25,18076,4467.25,1138.75,10789.75,3666.5,2574.75,0,106,3805.25,6410.25
"140",4375,15937.75,18200,4469.25,1136,10799.25,3845.75,2619.25,0,106,3517.5,6412.5
"141",3608,15538.5,18135.75,4461.5,1155,10797.25,3980.25,2623,0,106,1519,5948.5
"142",2305,15592.25,17956.25,4455.75,1162,10793.25,3815.25,2618.25,0,106,949.75,5908.25
"143",2200.25,15458.5,17660.25,4446.5,1118.5,10737.5,3842.75,2594.75,0,106,730.5,5949
"144",2019.25,15377.75,16687,4431,1132.25,10700.25,3724.5,2647.75,0,106,28.75,5413.25
"145",1311.75,15673.5,14132,4420.25,1112,10703.25,3815,2604.5,0,106,8,4548.75
"146",1308.75,15662.75,11392.75,4430.75,1127.5,10633.5,3920.5,2587.75,0,106,2.25,4205.25
"147",1289,15479.5,10827.75,4434.75,1108.75,10568.25,4083.5,2630,0,106,11.75,3764.75
"148",1285.25,15291.5,9354.25,4396,1121.5,10524.75,4327.25,2614.75,0,106,8.25,4088.25
"149",1271,15569.5,9314.5,4386,1126.25,10599.25,4396.25,2666.25,0,106,12.5,4336.5
"150",1277,16034.75,11290.75,4416.5,1127.75,10646.5,4393.25,2704,0,106,18,4559.75
"151",1392.5,16252,15189.75,4407,1157.25,10698,4890.25,2683.75,0,106,719,6000.25
"152",1614.75,16339.25,16881.5,4414.25,1156.75,10781.75,5698.5,2701.75,0,106,1014.25,6784.25
"153",1687.5,16315.25,17186.25,4399.25,1189.75,10586.5,6462.75,2704.75,149.75,106,1489.75,7754.75
"154",1709,16276.5,16902.25,4358.25,1161,9554.25,7764.75,2718.25,1205,106,1026,7325.5
"155",1720.75,16332.75,16547.25,4361.5,1161.75,9132.5,8293,2711.5,2838.75,106,958.75,6862.5
"156",1746.25,16331.25,16212.75,4395.25,1251.75,9138.25,8194,2711.75,3897.5,106,1829.5,7334.25
"157",1744.5,16301,16481.25,4418.25,1175.5,9118.75,8269.5,2714,3341.75,106,2383,7679
"158",1750,16250.25,16615,4415,1260.5,9125.5,8684.75,2712.5,1981.5,106,1962.25,7526.75
"159",1757,16030.5,16517,4438.75,1322.25,9385,9726.5,2711,913.25,106,1613.75,7066.75
"160",1762,16019.5,16895.75,4451.25,1213.5,9742.75,11157.75,2700.25,282.5,106,535.75,6948
"161",1460,16056,16843.25,4442.25,1150.5,10223.25,12416.75,2685.75,25.75,106,482.5,6797.25
"162",1387,15723,16771.5,4445.5,1182.25,10457,13423.5,2690.75,0,106,1512.25,7055.25
"163",1379.75,15938.75,16955.25,4451.5,1191.25,10470.5,14903,2690.25,0,106,1492.5,7278.5
"164",1379.25,15809.75,16487,4458.25,1191.75,10463.25,15845.25,2677.25,0,106,543.25,6890.25
"165",1346.75,15943.75,14468.5,4458.75,1179.5,10451,16934.25,2674.75,0,106,598.25,5917.75
"166",1345,15673.25,11093.5,4436.25,1185,10438,18055.75,2677.75,0,106,743.25,4732.75
"167",1365.5,15367.25,8420.25,4410.75,1187.25,10384.25,18692.25,2680.25,0,106,123.5,5281.5
"168",1264.25,14596.75,6231.75,4405.75,1204.75,10252.5,19038.25,2525,0,106,0,4751.5
"169",1135,13847.25,5397.5,4410.75,1190.75,10260.5,19814.25,2641.75,0,106,26.25,4464.5
"170",1135.5,14152.25,5355.75,4416.5,1181.25,10284,20468,2342.5,0,106,16.75,4446.75
"171",1146,13360.5,5336.25,4420.5,1224.25,10207,20820.75,2047.5,0,106,9,4315.5
"172",1199.5,12135.5,5415.25,4411.75,1207.25,10171.5,21151.75,2307,0,106,6.25,4322.75
"173",1186,11911.25,5478.5,4411,1233.25,10217.5,21511.5,2188.75,0,106,0,4199
"174",1185.75,12897.25,5612.5,4421,1203.75,10195.5,22226,2454.75,0,106,4.5,4438
"175",1236,14189.75,7786,4424.5,1247.25,10302.5,23292,2588,0,106,41,5214.5
"176",1240.25,14665.5,11201.75,4423,1270.5,10404.5,23587.75,2485,0,106,750.5,5510.25
"177",1171.75,15065.75,12325.75,4427.25,1217.5,10348.75,23947,2461.25,338.75,106,840,5637.5
"178",1216.5,14990.75,11916,4430.5,1224.25,10349.25,23574.75,2495,2815,106,164.25,5501
"179",1230.5,14941.5,10465.25,4416,1231,10330.75,22972,2543.25,6242.75,106,69.75,5239.75
"180",1231.25,14882.25,9710.25,4428.5,1244.25,10157.5,22667.25,2438.5,8735,106,372.5,4462
"181",1229,14279.5,9825.25,4432.5,1261,10118,21375,2296,9116.75,106,791.5,4937.5
"182",1218,14366.75,10924.5,4439.75,1315.25,10339.75,19450.25,1872.25,7361.75,106,1168.25,5599.25
"183",1223.75,14489.75,13594.25,4420.25,1300.5,10394.25,17252.25,1391,4492,106,1120.5,5863.75
"184",1415.25,14360.75,14677,4431,1295.5,10409.25,15394.75,754,1750.75,106,1663,6524.75
"185",2064.75,14093.5,15357.5,4425.25,1264.25,10406.5,15151.25,260.75,118.5,106,2281,6780.5
"186",2340.5,14990.75,15956,4425,1288.75,10563,14605.75,125.25,0,106,1241.75,7073.25
"187",2531.5,15550.5,16045,4444,1263.75,10732,13393.5,183.75,0,106,2634.5,7460.5
"188",2585.75,15566.25,16017.5,4451,1246.75,10750.75,12391.75,383.75,0,106,1645.25,7256.25
"189",2453,15437.25,15891,4430.25,1245.5,10732.75,11230,657.25,0,106,664.25,6914.5
"190",2460,15062.5,15925,4411,1243.75,10733,9940.75,1289.25,0,106,250.75,6278.5
"191",2336.25,14631.25,15861.75,4412.5,1307.75,10744.5,8687.25,1623.25,0,106,788.25,5464.75
"192",1568.25,14642.25,14302.5,4436.5,1273.25,10728,7718.5,2063.5,0,106,420.25,4659.5
"193",1547.25,14590,12497,4471,1314.75,10737,6484,2331,0,106,85,4400.25
"194",1538,14629.5,11093.25,4462.5,1278,10731.25,5926.25,2194.5,0,106,50.75,4113.75
"195",1299.75,14740.25,10627,4460.5,1297.75,10708.5,5601,2070,0,106,18,3693.5
"196",1276.75,14815,10222.5,4440.25,1330.75,10717,5466.5,1731.75,0,106,72,3918.25
"197",1265,15083.75,9399.25,4438.5,1292.75,10710,5782.5,1572.5,0,106,75.5,4234.5
"198",1269,15293.25,9986.25,4460.5,1338,10689.75,5460,1634.25,0,106,63.5,3814
"199",1274.75,15402.25,10222.5,4465.75,1349.75,10610,5705.5,1758.75,0,106,132.25,3447.75
"200",1243.5,15454,12345,4472.25,1341.75,10686.25,6017.25,1519.75,0,106,16.25,4168
"201",1263,15545.5,14034.5,4473.25,1341.75,10709,6378.5,1427.75,195.5,106,136,5306.25
"202",1270,15493.5,14114.5,4477.75,1381,10715.75,6611,1380,1554,106,251.75,5207
"203",1267.5,15484.25,14761.5,4482.5,1371,10703.5,6365.25,1362,3446,106,813,5035.25
"204",1254.5,15362.25,14357,4487.75,1413,10717,5087.25,1376,5002.25,106,1015.75,5078
"205",1223.5,15420.25,14726,4498,1410.75,10711,4155.25,1484.75,5171,106,594.25,5290.25
"206",1243.25,15306,14807.5,4498.75,1430.5,10703.5,3798.25,1494.5,4452.75,106,390,4978
"207",1219,15277.25,14434,4495.5,1445.5,10704.25,3809.75,1363.75,2900,106,305.75,5040.5
"208",1208.5,15387,14263.5,4492,1426,10697.25,4835.25,1289,1077.75,106,373.25,5131.25
"209",1227.75,15232.75,14681.25,4469.5,1423,10662,6827.75,1151.5,90.75,106,732.5,5216.25
"210",1231.75,15678.25,14882.75,4455.25,1404.75,10670.75,8402.5,1245.25,0,106,1968,5101.75
"211",1229,16111.25,14735,4460.5,1398,10680.5,9268,1450.75,0,106,1482.25,5274.75
"212",1244.75,15961.5,13562.25,4475,1356.5,10703.75,9920.25,1529.25,0,106,829.25,4946.25
"213",1248.25,15953,10716.5,4495.5,1349.25,10698,10020.5,1608.25,0,106,471.5,4856.75
"214",1221.75,15877.5,7364,4472.75,1347.25,10669.75,10030.25,1635.75,0,106,574.5,4443.25
"215",1240.25,15986.5,6235.75,3525,1260.5,10684.25,10305.25,1887.75,0,106,294.25,4385.75
"216",1228.75,15875.5,4475.25,3210,1241.75,10680,10529,2073.25,0,106,75.75,4421.5
"217",1197.5,15909,2728,3200,1262.25,10645,10778.25,2307.25,0,106,18.75,3635
"218",1210.25,15084.75,2605,3200,1266.25,10654.75,11094.5,2495.75,0,106,0,3683.5
"219",1203.75,13502.75,2566,3200,1267,10648,11706,2670.75,0,106,2.75,3888
"220",1063,12856.25,2546.5,3200,1270.25,10603.75,12412.5,2709,0,106,70.75,3465
"221",998.5,11341.75,2559.75,3200,1287,10657.75,12480.75,2707.75,0,106,45.5,3380.25
"222",992.75,11142.5,2570,3200,1261.75,10613,13011.25,2737.75,0,106,33.25,3459.25
"223",999,11214.25,2556,3200,1265.5,10500.5,13899.25,2746.5,0,106,0,3860.5
"224",1034,12149.25,2570.75,3200,1303,10554,14487,2746.75,0,106,22.5,3560
"225",1079.75,14641.75,2547.25,3200,1341.5,10535.25,14442.75,2731.25,177.25,106,94,3594.75
"226",1203.75,15306,2633.75,3837.25,1355.5,10626,14167.25,2671,1196,106,519,4388.25
"227",1193.25,15185,3082,4461.75,1398.75,10491.5,13924,2683,2310.5,106,618.25,4250
"228",1196.25,15489,3420.75,4424.25,1389.5,10450.25,13611.25,2644.5,3154.5,106,329,4471
"229",1186,15625.75,3622.75,4436,1426.25,10531.25,12689,2607.5,3804.75,106,339.5,4206.5
"230",1186.25,15771,3400,4445,1396,10624.5,11813.75,2534,3939.75,106,263.5,4028.5
"231",1179,15759.25,3435,4444,1413,10638.5,11011.5,2416.75,3009.5,106,406.25,4296.75
"232",1170.5,15974,4028.75,4455.75,1392.75,10674.75,10095.25,2453.25,1226.5,106,587.5,4047.5
"233",1188.25,16401,4813.75,4449.5,1410.5,10651.75,10394.5,2476.75,80.75,106,587.25,3871
"234",1204.75,16664.25,5773.5,4447,1382.75,10673,11100,2338.75,0,106,1252,4115.5
"235",1226.5,16679.5,6130,4442.75,1373,10679.5,11517,2249.5,0,106,902,4173.5
"236",1288,16664.75,5938.25,4439.25,1378,10650,12039.75,2285.25,0,106,532.25,4371.25
"237",1327.25,16229,4691,4431.75,1410.25,10634.25,11650,2076.5,0,106,105.25,4389.5
"238",1323,16025.25,4273.5,4426.25,1438.5,10673.25,10660.25,1711,0,106,138.25,4523.25
"239",1328.5,16502.5,4796,4409.5,1396.75,10675.75,9797.5,1777.5,0,106,802.5,4712.5
"240",1272,16515.25,4103.75,4404.75,1370.5,10642.75,9422,1851.25,0,106,302,4014.25
"241",1205.75,16180,3788.5,4391.25,1458.25,10631.5,8967,1760.5,0,106,123.25,3973
"242",1223,16154,3458,4384.75,1483.5,10614,8490,1522.5,0,106,0.5,3489.5
"243",1386.75,16068.5,3359.5,4369,1483.75,10558.25,7864,1522.75,0,106,0.75,3360.5
"244",1386,15789.5,3851.75,4363.25,1503.25,10666.25,6794.75,1234.75,0,106,5.5,3425.5
"245",1409.75,16681,5336,4362.25,1452.75,10619.75,6038,1278,0,106,0.5,3726.5
"246",1526.75,17495.75,8455.75,4390.25,1491,10510,5282.5,1191.25,0,106,22,4270
"247",2020.25,18025.75,13312.75,4391.25,1542.5,10674.5,5076.25,1111.5,0,106,439.25,5161
"248",2721,18047.75,16932.75,4426.75,1462.75,10716.75,5339.5,1042.5,0,106,1393,6185.25
"249",3159.75,18320.25,17847.75,4435.25,1415.25,10729.5,5885.75,931.25,89.75,106,1154,6715
"250",3029,18578.25,17751.75,4446.5,1402.25,10729.25,6138,1066.5,544,106,1050.25,6446.5
"251",2800.25,18467,17601.5,4434.75,1431.25,10736.75,6155.5,981.5,1342.75,106,1463.75,6501
"252",3019.75,18288.75,17934.75,4398,1397.75,10739.75,5921.5,871.5,1988.75,106,1632,6468.25
"253",2849.25,18353.75,18053.75,4344.75,1401.25,10732.75,5302.5,938.25,2237.75,106,1051.25,6742
"254",3098.5,18548.75,17760.75,4345.25,1421.25,10740.5,5056,982.5,1994.25,106,1008.5,6823.5
"255",3193,18525.75,17850,4373.5,1405,10734.5,5494.5,903.5,1296,106,647.25,6838.5
"256",3329.5,18560.5,17973.75,4420.25,1416.75,10703.75,6482,994.5,595,106,345.5,6873.75
"257",3229.5,18554,18257,4458.25,1428.75,10720.75,7208,1259,88,106,329.25,7259.5
"258",3391,18471.25,18203,4461,1456.75,10660.5,8171.75,1558,1.25,106,1671.75,7465
"259",3129.75,18292.5,18048.75,4464.75,1465.75,10715.25,8911.5,1567.75,0,106,1818.25,7454.25
"260",2677.25,18259.5,17623,4462.5,1475,10712.25,9272,1453.5,0,106,1383.25,7032.25
"261",1799.25,18411,16660.75,4463.25,1490.75,10709.25,9389.25,1434.75,0,106,717.25,7001
"262",1342.75,18440.75,14388,4451.75,1524,10688.5,9345.5,1402.25,0,106,109.75,6404.25
"263",1334,18379,12897.5,4439,1547.5,10698.25,9141,1463,0,106,552.75,5704.5
"264",1269,17560.25,9871.25,4449,1537.5,10697.5,8854.75,1445.25,0,106,33.5,5562.75
"265",1173,17416,8375,4457.25,1555,10673.75,8605.5,1500.5,0,106,1,4615.25
"266",1173.75,17394,6997.75,4439.5,1555.5,10594.75,8476.75,1373,0,106,19.5,4156.5
"267",1184.75,17237.75,6285.25,4434,1557.5,10676,8435,1246.25,0,106,1.5,4797.75
