"","P_E_DA","E_DA","P_E_RT","E_RT","P_R_PR","R_PR","P_R_RU","P_R_RD","R_RU","R_RD","P_E_RU","P_E_RD","E_RU","E_RD"
"2805",31.07,54520,101.650411899313,1311,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,66.4696787423103,2.50743169398907,365.75,-45.75
"2806",27.98,51080,80.1735576923077,312,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.3433968253968,2.85171521035599,78.75,-77.25
"2807",23.99,46329.25,-32.3840206185567,-194,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.619756097561,1.178125,30.75,-48
"2808",23.01,44181,433.829178082192,146,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,39.3903002309469,5.91494382022472,108.25,-111.25
"2809",22.42,42332.5,-28.9894893617021,-235,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.2839428571429,1.997890625,43.75,-64
"2810",22.53,41665,32.7718061674009,1135,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.308537414966,0.161296296296296,73.5,-13.5
"2811",22.04,42211.75,60.7953551912568,183,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.1179812206573,1.14337837837838,53.25,-37
"2812",22.17,43668.5,72.7453111111111,450,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,38.1572280701754,2.27694805194805,142.5,-38.5
"2813",23.77,46743.25,-18.19534375,-320,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.0197590361446,1.16473958333333,41.5,-48
"2814",28.6,53105.25,-12.8468240343348,-466,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.8737931034483,3.13861224489796,36.25,-122.5
"2815",31.47,59127.75,50.6721777003484,1148,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,40.6336058519793,1.22802325581395,290.5,-21.5
"2816",30.27,62856.5,61.0368104848063,4311,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,50.4745350571855,-4.2813829787234,502.75,-47
"2817",28.85,63699,97.9213177094849,4523,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,79.7463138315861,-4.16151898734177,739.25,-59.25
"2818",25.65,65158.25,55.5490320699708,3430,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,41.3473696824446,-5.17076923076923,417.25,-6.5
"2819",24.91,66232.25,-3.36265350877193,-456,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,37.8159176029963,-4.0656,66.75,-106.25
"2820",24.21,65461.5,-33.6658974358974,-156,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,36.6585714285714,-3.85667669172932,10.5,-166.25
"2821",24.14,64563,282.049464285714,56,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,38.1719047619048,-4.05219251336898,105,-93.5
"2822",23.56,63075.75,2.4139467645709,-2179,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,36.36,-3.43869373776908,2.75,-511
"2823",23.42,62447,-25.9495483870968,-155,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,37.9111312217195,-4.20652561247216,55.25,-112.25
"2824",23.53,61258,35.5326324110672,1265,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,37.8582278481013,-4.34544554455446,59.25,-50.5
"2825",24.03,60479.25,52.9063636363636,726,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,39.4699124726477,-4.105575,114.25,-100
"2826",28.95,60453.25,39.4359888579387,1077,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,39.0934991423671,-4.41732954545455,145.75,-44
"2827",30.27,60050,34.6283849557522,1356,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,37.5744117647059,-4.77341463414634,42.5,-20.5
"2828",33,58467.5,37.7499540816326,1960,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,38.2372810457516,-0.425416666666667,191.25,-6
"2829",31.95,56481.75,73.3666935483871,1612,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,42.2008746618575,0.8632,277.25,-18.75
"2830",27.93,53238.25,46.5477207977208,1053,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,38.2095961227787,1.02333333333333,154.75,-30
"2831",25.51,48393.25,42.6474408117249,887,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.2651446945338,1.16518518518519,77.75,-40.5
"2832",23,45740.75,41.5780688806888,1626,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,39.3541452612932,-0.183333333333333,282.25,-5.25
"2833",23.46,43870.75,74.304766214178,1989,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,58.7805257567711,0.363571428571429,470.75,-10.5
"2834",24.55,42978.75,38.7994393592677,874,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,38.2232519280206,-0.464,194.5,-3.75
"2835",23.28,43477,-74.915,-102,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.0449693251534,1.27887254901961,40.75,-51
"2836",23.73,44529,33.4903571428571,868,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.082037037037,0.516153846153846,40.5,-16.25
"2837",25.59,47619.75,34.0143550446999,783,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.5615873015873,0.992909090909091,31.5,-27.5
"2838",31.12,54178.75,49.5190963855422,498,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.4042957746479,1.18246376811594,106.5,-34.5
"2839",37.99,59663.25,39.11,1388,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.7846902654867,-0.389166666666667,141.25,-6
"2840",37.99,62483.5,53.522027027027,296,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,37.1273394495413,-4.48837837837838,27.25,-55.5
"2841",34.1,63731,55.9532631578947,475,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,37.6473737373737,-4.16350404312668,49.5,-92.75
"2842",29.93,65059.75,57.3039834482759,3625,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,43.3658440677966,-4.20981651376147,368.75,-54.5
"2843",29.39,65947.5,35.8030009451796,2116,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,38.07486,-5.11290322580645,125,-7.75
"2844",26.16,64943.25,120.836761904762,105,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,37.9046464646465,-4.29657320872274,74.25,-80.25
"2845",24.98,64166,8.44462514417532,-867,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,37.7734042553192,-4.07667701863354,47,-161
"2846",27.39,62788.5,80.1061347517731,282,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,38.8122686567164,-4.09534798534798,167.5,-68.25
"2847",26.96,62021.5,42.6322291021672,323,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,38.0030714285714,-4.64633027522936,105,-27.25
"2848",26.5,60842.5,9.03037974683544,-237,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,36.8654054054054,-4.62251497005988,18.5,-41.75
"2849",30,60463.75,35.5167074829932,1470,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,38.2873383458647,-5.16258064516129,166.25,-7.75
"2850",34.79,60084.25,-45.4928070175439,-114,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,37.863487654321,-4.42864197530864,81,-40.5
"2851",38.43,59821.25,-23.9036363636364,-132,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,37.5618483412322,-4.72319587628866,52.75,-24.25
"2852",35.75,58148.75,38.5053913894325,1022,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.7950471698113,0.0126086956521739,53,-11.5
"2853",37.19,56244,131.007690459849,2914,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,130.25971583786,-0.4,598.25,-6
"2854",34.92,53186.25,69.1549607672188,2294,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,44.6869850498339,0.541785714285714,301,-14
"2855",30.3,48584.5,43.5732768361582,531,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.2218367346939,1.267,12.25,-50
"2856",26.41,45617,30.4933973029046,1928,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,38.0027456647399,0.48015625,86.5,-16
"2857",25.01,43663.25,45.3542105263158,266,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.2955737704918,1.18312169312169,15.25,-47.25
"2858",23.99,42840.75,49.4025758282781,2143,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,39.5763643996641,-0.068125,297.75,-8
"2859",22.46,43158.25,53.518818443804,1388,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,40.8740628272251,-0.449090909090909,238.75,-5.5
"2860",22.35,44309,33.5535338345865,1064,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.7037739130435,0.0763414634146341,143.75,-10.25
"2861",23.47,47251,38.2970854271357,1194,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,38.0358449809403,-0.393846153846154,196.75,-6.5
"2862",26.8,53742.75,-134.209836065574,-61,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.9261788617886,2.09569892473118,61.5,-46.5
"2863",30.68,59136.25,1.5921511627907,-688,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.9552542372881,1.67138709677419,29.5,-77.5
"2864",28.51,62410.25,42.4196555397727,2816,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,42.6558776167472,-4.51139240506329,465.75,-19.75
"2865",22.39,63482.25,83.8606024096386,332,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,38.0183544303798,-3.99248764415157,59.25,-151.75
"2866",20.69,64711.5,-1.77956819739548,-2918,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,36.36,0.43510064824292,2.75,-732.75
"2867",20.05,65512.75,49.8324838292367,1546,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,41.5649856733524,-4.64744680851064,349,-23.5
"2868",19.09,64764.25,53.3770212147632,6882,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,55.1730363321799,-5.196,867,-5
"2869",20.14,63172,48.3301519536903,2764,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,38.1064495798319,-4.9755,119,-20
"2870",20.86,61890,45.3584167794317,739,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,39.5324904214559,-4.33208955223881,195.75,-50.25
"2871",22.01,60647.25,3.41853416149068,-805,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,36.7220588235294,-3.9774,8.5,-200
"2872",22.59,59597,6.02493401015228,-985,13.4547023809524,583,3.52766666666667,0.00383333333333333,1973,1904,36.478,-3.94814420803782,6.25,-211.5
"2873",26.01,59331.25,-8.70055762081785,-269,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,37.2897222222222,-4.38862204724409,36,-63.5
"2874",30.82,59223.25,46.0996485411141,1508,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,43.4911595174263,-4.62,373,-17.25
"2875",34.83,58595.25,48.4318351440718,4234,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,52.3851994851995,-5.25,582.75,-5
"2876",35.18,56815.5,274.93046997389,383,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.0027755102041,2.66391203703704,61.25,-108
"2877",33.08,55050.5,55.642389380531,678,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,38.037137745975,0.9,139.75,-22.5
"2878",30.93,52391.5,45.6792118863049,1548,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,38.5267359050445,0.985959595959596,168.5,-24.75
"2879",27.35,47844.5,62.2839934640523,1530,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,38.8582336956522,0.120217391304348,184,-11.5
"2880",24.17,43079.25,59.7865665236051,1398,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,40.6355765765766,-0.155333333333333,277.5,-7.5
