datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,dasrmcp,total_pjm_rt_load_mwh,total_pjm_cleared_dasr_mwh,total_pjm_dasr_credits,total_pjm_adj_dasr_oblig_mwh
4/4/2017 6:00:00 PM,4/4/2017 2:00:00 PM,4/4/2017 7:00:00 PM,4/4/2017 3:00:00 PM,0.01000,82714.287000,4557.100,45.57,4557.100
4/4/2017 7:00:00 PM,4/4/2017 3:00:00 PM,4/4/2017 8:00:00 PM,4/4/2017 4:00:00 PM,0.00000,82005.345000,4587.100,0.00,4587.100
4/4/2017 8:00:00 PM,4/4/2017 4:00:00 PM,4/4/2017 9:00:00 PM,4/4/2017 5:00:00 PM,0.00000,82005.232000,4118.000,0.00,4118.000
4/4/2017 9:00:00 PM,4/4/2017 5:00:00 PM,4/4/2017 10:00:00 PM,4/4/2017 6:00:00 PM,0.00000,82383.752000,4103.200,0.00,4103.200
4/4/2017 10:00:00 PM,4/4/2017 6:00:00 PM,4/4/2017 11:00:00 PM,4/4/2017 7:00:00 PM,0.00000,82541.427000,4139.100,0.00,4139.100
4/4/2017 11:00:00 PM,4/4/2017 7:00:00 PM,4/5/2017 12:00:00 AM,4/4/2017 8:00:00 PM,0.01000,83732.205000,3874.200,38.77,3874.200
4/5/2017 12:00:00 AM,4/4/2017 8:00:00 PM,4/5/2017 1:00:00 AM,4/4/2017 9:00:00 PM,0.09000,85994.645000,3372.200,303.52,3372.200
4/5/2017 1:00:00 AM,4/4/2017 9:00:00 PM,4/5/2017 2:00:00 AM,4/4/2017 10:00:00 PM,0.00000,83338.046000,3295.500,0.00,3295.500
4/5/2017 2:00:00 AM,4/4/2017 10:00:00 PM,4/5/2017 3:00:00 AM,4/4/2017 11:00:00 PM,0.00000,77567.023000,3021.300,0.00,3021.300
4/5/2017 3:00:00 AM,4/4/2017 11:00:00 PM,4/5/2017 4:00:00 AM,4/5/2017 12:00:00 AM,0.00000,71848.274000,3025.300,0.00,3025.300
4/5/2017 4:00:00 AM,4/5/2017 12:00:00 AM,4/5/2017 5:00:00 AM,4/5/2017 1:00:00 AM,0.00000,67454.344000,3018.800,0.00,3018.800
4/5/2017 5:00:00 AM,4/5/2017 1:00:00 AM,4/5/2017 6:00:00 AM,4/5/2017 2:00:00 AM,0.00000,64787.280000,2752.300,0.00,2752.300
4/5/2017 6:00:00 AM,4/5/2017 2:00:00 AM,4/5/2017 7:00:00 AM,4/5/2017 3:00:00 AM,0.00000,63344.194000,2649.400,0.00,2649.400
4/5/2017 7:00:00 AM,4/5/2017 3:00:00 AM,4/5/2017 8:00:00 AM,4/5/2017 4:00:00 AM,0.00000,63214.225000,3064.100,0.00,3064.100
4/5/2017 8:00:00 AM,4/5/2017 4:00:00 AM,4/5/2017 9:00:00 AM,4/5/2017 5:00:00 AM,0.00000,64433.333000,2686.300,0.00,2686.300
4/5/2017 9:00:00 AM,4/5/2017 5:00:00 AM,4/5/2017 10:00:00 AM,4/5/2017 6:00:00 AM,0.00000,69110.140000,2805.700,0.00,2805.700
4/5/2017 10:00:00 AM,4/5/2017 6:00:00 AM,4/5/2017 11:00:00 AM,4/5/2017 7:00:00 AM,0.01000,77208.275000,3711.200,37.13,3711.200
4/5/2017 11:00:00 AM,4/5/2017 7:00:00 AM,4/5/2017 12:00:00 PM,4/5/2017 8:00:00 AM,0.01000,81679.182000,4200.900,42.03,4200.900
4/5/2017 12:00:00 PM,4/5/2017 8:00:00 AM,4/5/2017 1:00:00 PM,4/5/2017 9:00:00 AM,0.00000,82490.025000,4203.900,0.00,4203.900
4/5/2017 1:00:00 PM,4/5/2017 9:00:00 AM,4/5/2017 2:00:00 PM,4/5/2017 10:00:00 AM,0.00000,82300.053000,4208.900,0.00,4208.900
4/5/2017 2:00:00 PM,4/5/2017 10:00:00 AM,4/5/2017 3:00:00 PM,4/5/2017 11:00:00 AM,0.00000,82458.421000,4210.000,0.00,4210.000
4/5/2017 3:00:00 PM,4/5/2017 11:00:00 AM,4/5/2017 4:00:00 PM,4/5/2017 12:00:00 PM,0.00000,81986.659000,4217.900,0.00,4217.900
4/5/2017 4:00:00 PM,4/5/2017 12:00:00 PM,4/5/2017 5:00:00 PM,4/5/2017 1:00:00 PM,0.01000,81667.583000,4222.800,42.25,4222.800
4/5/2017 5:00:00 PM,4/5/2017 1:00:00 PM,4/5/2017 6:00:00 PM,4/5/2017 2:00:00 PM,0.00000,81686.082000,4254.900,0.00,4254.900
4/5/2017 6:00:00 PM,4/5/2017 2:00:00 PM,4/5/2017 7:00:00 PM,4/5/2017 3:00:00 PM,0.00000,81717.085000,4258.000,0.00,4258.000
4/5/2017 7:00:00 PM,4/5/2017 3:00:00 PM,4/5/2017 8:00:00 PM,4/5/2017 4:00:00 PM,0.00000,81586.657000,4247.000,0.00,4247.000
4/5/2017 8:00:00 PM,4/5/2017 4:00:00 PM,4/5/2017 9:00:00 PM,4/5/2017 5:00:00 PM,0.00000,81911.729000,3782.900,0.00,3782.900
4/5/2017 9:00:00 PM,4/5/2017 5:00:00 PM,4/5/2017 10:00:00 PM,4/5/2017 6:00:00 PM,0.00000,82364.802000,3771.900,0.00,3771.900
4/5/2017 10:00:00 PM,4/5/2017 6:00:00 PM,4/5/2017 11:00:00 PM,4/5/2017 7:00:00 PM,0.00000,82573.578000,3758.900,0.00,3758.900
4/5/2017 11:00:00 PM,4/5/2017 7:00:00 PM,4/6/2017 12:00:00 AM,4/5/2017 8:00:00 PM,0.00000,84137.918000,3514.900,0.00,3514.900
4/6/2017 12:00:00 AM,4/5/2017 8:00:00 PM,4/6/2017 1:00:00 AM,4/5/2017 9:00:00 PM,0.01000,86027.753000,3103.100,31.04,3103.100
4/6/2017 1:00:00 AM,4/5/2017 9:00:00 PM,4/6/2017 2:00:00 AM,4/5/2017 10:00:00 PM,0.00000,82997.207000,2959.900,0.00,2959.900
4/6/2017 2:00:00 AM,4/5/2017 10:00:00 PM,4/6/2017 3:00:00 AM,4/5/2017 11:00:00 PM,0.00000,77357.680000,2397.600,0.00,2397.600
4/6/2017 3:00:00 AM,4/5/2017 11:00:00 PM,4/6/2017 4:00:00 AM,4/6/2017 12:00:00 AM,0.00000,71663.046000,2376.400,0.00,2376.400
4/6/2017 4:00:00 AM,4/6/2017 12:00:00 AM,4/6/2017 5:00:00 AM,4/6/2017 1:00:00 AM,0.00000,67461.801000,3401.400,0.00,3401.400
4/6/2017 5:00:00 AM,4/6/2017 1:00:00 AM,4/6/2017 6:00:00 AM,4/6/2017 2:00:00 AM,0.00000,65071.366000,3104.500,0.00,3104.500
4/6/2017 6:00:00 AM,4/6/2017 2:00:00 AM,4/6/2017 7:00:00 AM,4/6/2017 3:00:00 AM,0.00000,63801.898000,3160.400,0.00,3160.400
4/6/2017 7:00:00 AM,4/6/2017 3:00:00 AM,4/6/2017 8:00:00 AM,4/6/2017 4:00:00 AM,0.00000,63297.995000,3151.500,0.00,3151.500
4/6/2017 8:00:00 AM,4/6/2017 4:00:00 AM,4/6/2017 9:00:00 AM,4/6/2017 5:00:00 AM,0.00000,64722.240000,3278.600,0.00,3278.600
4/6/2017 9:00:00 AM,4/6/2017 5:00:00 AM,4/6/2017 10:00:00 AM,4/6/2017 6:00:00 AM,0.00000,69292.761000,3235.100,0.00,3235.100
4/6/2017 10:00:00 AM,4/6/2017 6:00:00 AM,4/6/2017 11:00:00 AM,4/6/2017 7:00:00 AM,0.00000,77597.862000,4114.600,0.00,4114.600
4/6/2017 11:00:00 AM,4/6/2017 7:00:00 AM,4/6/2017 12:00:00 PM,4/6/2017 8:00:00 AM,0.00000,82933.048000,4620.600,0.00,4620.600
4/6/2017 12:00:00 PM,4/6/2017 8:00:00 AM,4/6/2017 1:00:00 PM,4/6/2017 9:00:00 AM,0.01000,84915.364000,4622.600,46.25,4622.600
4/6/2017 1:00:00 PM,4/6/2017 9:00:00 AM,4/6/2017 2:00:00 PM,4/6/2017 10:00:00 AM,0.01000,86033.033000,4622.800,46.24,4622.800
4/6/2017 2:00:00 PM,4/6/2017 10:00:00 AM,4/6/2017 3:00:00 PM,4/6/2017 11:00:00 AM,0.01000,87060.747000,4622.500,46.26,4622.500
4/6/2017 3:00:00 PM,4/6/2017 11:00:00 AM,4/6/2017 4:00:00 PM,4/6/2017 12:00:00 PM,0.05000,87141.297000,4588.500,229.51,4588.500
4/6/2017 4:00:00 PM,4/6/2017 12:00:00 PM,4/6/2017 5:00:00 PM,4/6/2017 1:00:00 PM,0.01000,86807.703000,4622.600,46.26,4622.600
4/6/2017 5:00:00 PM,4/6/2017 1:00:00 PM,4/6/2017 6:00:00 PM,4/6/2017 2:00:00 PM,0.05000,86077.411000,4546.700,227.43,4546.700
4/6/2017 6:00:00 PM,4/6/2017 2:00:00 PM,4/6/2017 7:00:00 PM,4/6/2017 3:00:00 PM,0.00000,85785.854000,4625.600,0.00,4625.600
4/6/2017 7:00:00 PM,4/6/2017 3:00:00 PM,4/6/2017 8:00:00 PM,4/6/2017 4:00:00 PM,0.00000,85360.382000,4598.600,0.00,4598.600
4/6/2017 8:00:00 PM,4/6/2017 4:00:00 PM,4/6/2017 9:00:00 PM,4/6/2017 5:00:00 PM,0.00000,85395.837000,4077.600,0.00,4077.600
4/6/2017 9:00:00 PM,4/6/2017 5:00:00 PM,4/6/2017 10:00:00 PM,4/6/2017 6:00:00 PM,0.00000,85419.143000,4082.500,0.00,4082.500
4/6/2017 10:00:00 PM,4/6/2017 6:00:00 PM,4/6/2017 11:00:00 PM,4/6/2017 7:00:00 PM,0.00000,85717.600000,3993.600,0.00,3993.600
4/6/2017 11:00:00 PM,4/6/2017 7:00:00 PM,4/7/2017 12:00:00 AM,4/6/2017 8:00:00 PM,0.01000,87217.459000,3839.800,38.40,3839.800
4/7/2017 12:00:00 AM,4/6/2017 8:00:00 PM,4/7/2017 1:00:00 AM,4/6/2017 9:00:00 PM,0.09000,89611.298000,3181.100,286.32,3181.100
4/7/2017 1:00:00 AM,4/6/2017 9:00:00 PM,4/7/2017 2:00:00 AM,4/6/2017 10:00:00 PM,0.01000,87215.073000,3350.800,33.57,3350.800
4/7/2017 2:00:00 AM,4/6/2017 10:00:00 PM,4/7/2017 3:00:00 AM,4/6/2017 11:00:00 PM,0.00000,82383.795000,2798.000,0.00,2798.000
4/7/2017 3:00:00 AM,4/6/2017 11:00:00 PM,4/7/2017 4:00:00 AM,4/7/2017 12:00:00 AM,0.00000,77168.793000,2872.100,0.00,2872.100
4/7/2017 4:00:00 AM,4/7/2017 12:00:00 AM,4/7/2017 5:00:00 AM,4/7/2017 1:00:00 AM,0.00000,73589.873000,2994.500,0.00,2994.500
4/7/2017 5:00:00 AM,4/7/2017 1:00:00 AM,4/7/2017 6:00:00 AM,4/7/2017 2:00:00 AM,0.00000,71358.347000,2988.500,0.00,2988.500
4/7/2017 6:00:00 AM,4/7/2017 2:00:00 AM,4/7/2017 7:00:00 AM,4/7/2017 3:00:00 AM,0.00000,70422.634000,2988.500,0.00,2988.500
4/7/2017 7:00:00 AM,4/7/2017 3:00:00 AM,4/7/2017 8:00:00 AM,4/7/2017 4:00:00 AM,0.00000,70428.322000,2988.600,0.00,2988.600
4/7/2017 8:00:00 AM,4/7/2017 4:00:00 AM,4/7/2017 9:00:00 AM,4/7/2017 5:00:00 AM,0.00000,72136.775000,3187.501,0.00,3187.501
4/7/2017 9:00:00 AM,4/7/2017 5:00:00 AM,4/7/2017 10:00:00 AM,4/7/2017 6:00:00 AM,0.00000,76934.038000,3063.200,0.00,3063.200
4/7/2017 10:00:00 AM,4/7/2017 6:00:00 AM,4/7/2017 11:00:00 AM,4/7/2017 7:00:00 AM,0.24000,85027.481000,4188.300,1005.20,4188.300
4/7/2017 11:00:00 AM,4/7/2017 7:00:00 AM,4/7/2017 12:00:00 PM,4/7/2017 8:00:00 AM,0.50000,89971.139000,4803.400,2401.70,4803.400
4/7/2017 12:00:00 PM,4/7/2017 8:00:00 AM,4/7/2017 1:00:00 PM,4/7/2017 9:00:00 AM,0.24000,91372.925000,4803.200,1152.77,4803.200
