datetime_beginning_utc,datetime_beginning_ept,hrly_da_demand_bid
3/1/2017 12:00:00 PM,3/1/2017 7:00:00 AM,85571.0
3/1/2017 1:00:00 PM,3/1/2017 8:00:00 AM,86309.0
3/1/2017 2:00:00 PM,3/1/2017 9:00:00 AM,86675.0
3/1/2017 3:00:00 PM,3/1/2017 10:00:00 AM,86841.0
3/1/2017 4:00:00 PM,3/1/2017 11:00:00 AM,86405.0
3/1/2017 5:00:00 PM,3/1/2017 12:00:00 PM,85790.0
3/1/2017 6:00:00 PM,3/1/2017 1:00:00 PM,85515.0
3/1/2017 7:00:00 PM,3/1/2017 2:00:00 PM,84619.0
3/1/2017 8:00:00 PM,3/1/2017 3:00:00 PM,83988.0
3/1/2017 9:00:00 PM,3/1/2017 4:00:00 PM,84124.0
3/1/2017 10:00:00 PM,3/1/2017 5:00:00 PM,86114.0
3/1/2017 11:00:00 PM,3/1/2017 6:00:00 PM,89842.0
3/2/2017 12:00:00 AM,3/1/2017 7:00:00 PM,90296.0
3/2/2017 1:00:00 AM,3/1/2017 8:00:00 PM,86969.0
3/2/2017 2:00:00 AM,3/1/2017 9:00:00 PM,84020.0
3/2/2017 3:00:00 AM,3/1/2017 10:00:00 PM,77494.0
3/2/2017 4:00:00 AM,3/1/2017 11:00:00 PM,70489.0
3/2/2017 5:00:00 AM,3/2/2017 12:00:00 AM,68434.0
3/2/2017 6:00:00 AM,3/2/2017 1:00:00 AM,66048.0
3/2/2017 7:00:00 AM,3/2/2017 2:00:00 AM,65560.0
3/2/2017 8:00:00 AM,3/2/2017 3:00:00 AM,65941.0
3/2/2017 9:00:00 AM,3/2/2017 4:00:00 AM,68959.0
3/2/2017 10:00:00 AM,3/2/2017 5:00:00 AM,75000.0
3/2/2017 11:00:00 AM,3/2/2017 6:00:00 AM,85665.0
3/2/2017 12:00:00 PM,3/2/2017 7:00:00 AM,89316.0
3/2/2017 1:00:00 PM,3/2/2017 8:00:00 AM,89726.0
3/2/2017 2:00:00 PM,3/2/2017 9:00:00 AM,89547.0
3/2/2017 3:00:00 PM,3/2/2017 10:00:00 AM,89182.0
3/2/2017 4:00:00 PM,3/2/2017 11:00:00 AM,88379.0
3/2/2017 5:00:00 PM,3/2/2017 12:00:00 PM,87517.0
3/2/2017 6:00:00 PM,3/2/2017 1:00:00 PM,87050.0
3/2/2017 7:00:00 PM,3/2/2017 2:00:00 PM,86831.0
3/2/2017 8:00:00 PM,3/2/2017 3:00:00 PM,86743.0
3/2/2017 9:00:00 PM,3/2/2017 4:00:00 PM,87363.0
3/2/2017 10:00:00 PM,3/2/2017 5:00:00 PM,89242.0
3/2/2017 11:00:00 PM,3/2/2017 6:00:00 PM,94804.0
3/3/2017 12:00:00 AM,3/2/2017 7:00:00 PM,95200.0
3/3/2017 1:00:00 AM,3/2/2017 8:00:00 PM,91905.0
3/3/2017 2:00:00 AM,3/2/2017 9:00:00 PM,89077.0
3/3/2017 3:00:00 AM,3/2/2017 10:00:00 PM,85209.0
3/3/2017 4:00:00 AM,3/2/2017 11:00:00 PM,79006.0
3/3/2017 5:00:00 AM,3/3/2017 12:00:00 AM,77751.0
3/3/2017 6:00:00 AM,3/3/2017 1:00:00 AM,76311.0
3/3/2017 7:00:00 AM,3/3/2017 2:00:00 AM,75712.0
3/3/2017 8:00:00 AM,3/3/2017 3:00:00 AM,76376.0
3/3/2017 9:00:00 AM,3/3/2017 4:00:00 AM,79043.0
3/3/2017 10:00:00 AM,3/3/2017 5:00:00 AM,86391.0
3/3/2017 11:00:00 AM,3/3/2017 6:00:00 AM,98755.0
3/3/2017 12:00:00 PM,3/3/2017 7:00:00 AM,102093.0
3/3/2017 1:00:00 PM,3/3/2017 8:00:00 AM,100244.0
3/3/2017 2:00:00 PM,3/3/2017 9:00:00 AM,98383.0
3/3/2017 3:00:00 PM,3/3/2017 10:00:00 AM,96931.0
3/3/2017 4:00:00 PM,3/3/2017 11:00:00 AM,95067.0
3/3/2017 5:00:00 PM,3/3/2017 12:00:00 PM,92847.0
3/3/2017 6:00:00 PM,3/3/2017 1:00:00 PM,92132.0
3/3/2017 7:00:00 PM,3/3/2017 2:00:00 PM,90625.0
3/3/2017 8:00:00 PM,3/3/2017 3:00:00 PM,90698.0
3/3/2017 9:00:00 PM,3/3/2017 4:00:00 PM,91043.0
3/3/2017 10:00:00 PM,3/3/2017 5:00:00 PM,94140.0
3/3/2017 11:00:00 PM,3/3/2017 6:00:00 PM,101335.0
3/4/2017 12:00:00 AM,3/3/2017 7:00:00 PM,100380.0
