C,SETP.WORLD,BILLING_AS_RECOVERY_SUMMARY,AEMO,PUBLIC,2017/07/27,13:43:08,0000000285825151,,0000000285825146
I,BILLING,ASRECOVERY_SUMMARY,1,BILLING_WEEK,STATUS,REGIONID,LOWER6SEC,LOWER60SEC,LOWER5MIN,LOWERREG,RAISE6SEC,RAISE60SEC,RAISE5MIN,RAISEREG,RESTART,REACTIVE,LOADSHED,TOTAL_CUSTOMER_RECOVERY,TOTAL_GENERATOR_RECOVERY,ENERGY_CUSTOMER,ENERGY_GENERATOR,RECOVERY_RATE_CUSTOMER,RECOVERY_RATE_GENERATOR
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk09,REVISE2,TAS1,-13677.935840,-6809.9744,-5079.058240,-13594.590435,-2840.595960,-1854.188150,0,-53933.953968,-62496.000020,0,0,-84015.782340,-76270.514673,-174035.789902,177624.689724,-0.4827500273783312195903868940,-0.4293914026902004847552180600
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk09,REVISE2,VIC1,-53.2724,-370.1648,-6231.989170,-6195.234135,-15374.889290,-14117.402570,-16079.227572,-6290.567734,-92803.199990,0,0,-57115.661470,-100400.286191,-831296.824098,985051.058842,-0.0687066999587944334598325682,-0.1019239411904474514230136950
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk10,REVISE2,NSW1,-134.400290,-849.403110,-11104.653180,-6364.799851,-44635.501080,-32226.508670,-47112.156683,-11047.546902,-140492,-192319.68,0,-282255.112770,-204031.536996,-1351866.665255,1297348.450043,-0.2087891653995024448828515766,-0.1572681086482490277212149841
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk10,REVISE2,QLD1,-110.569170,-689.241280,-8858.056280,-4772.261586,-38744.668110,-28183.462960,-39208.630006,-8064.023564,-59532.479980,0,0,-45186.182370,-142977.210566,-1050486.031574,1088390.602440,-0.0430145485155048664822276029,-0.1313657158059502291121233874
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk10,REVISE2,SA1,-25.398670,-162.140310,-2102.063490,-2929.600437,-7724.276940,-5608.936310,-7849.788093,-4325.775934,-30597.199970,0,0,-19114.426020,-42210.754134,-251387.808067,211430.438937,-0.0760356127330789802936016225,-0.1996436953270363914138365510
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk10,REVISE2,TAS1,-196597.342550,-7104.7997,-5083.503110,-34752.810577,-1914.1778,-1756.576250,0,-33894.563397,-62496,0,0,-262041.262110,-81558.511274,-165426.551426,168158.267592,-1.58403387999790654597454438,-0.4850104157345641168217917162
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk10,REVISE2,VIC1,-80.143490,-514.178910,-6743.136780,-4796.753932,-35058.428330,-25482.324550,-35940.632920,-8344.713449,-92803.20,0,0,-58692.894640,-151070.617721,-836453.727012,993724.263542,-0.0701687286990329535056415673,-0.1520246845765127714905458415
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk11,REVISE2,NSW1,-118.326910,-871.947840,-13895.620520,-7990.968475,-41792.026170,-30402.563480,-65084.363137,-17447.915360,-143891.999940,-192319.680010,0,-290346.702740,-223468.709102,-1401770.633090,1302775.050681,-0.2071285386397151262922952378,-0.1715328436672057339927049532
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk11,REVISE2,QLD1,-94.977340,-682.358350,-10478.077830,-5802.939303,-37750.915820,-27889.200640,-54280.195113,-12448.935744,-59532.480020,0,0,-49003.473470,-159956.606690,-1021084.650250,1100579.133689,-0.0479915876298817175368658912,-0.1453385783844965189732357922
D,BILLING,ASRECOVERY_SUMMARY,1,2016Wk11,REVISE2,SA1,-24.3179,-177.983380,-2802.836860,-2992.190142,-8671.331910,-6434.508150,-12491.131439,-6800.097162,-39547.20,0,0,-25120.871430,-54820.725513,-274892.417275,253218.031354,-0.0913843738544060936756881301,-0.2164961366292290916410012743
