datetime_beginning_utc,datetime_beginning_ept,hrly_da_demand_bid
5/5/2016 3:00:00 PM,5/5/2016 11:00:00 AM,83353.0
5/5/2016 4:00:00 PM,5/5/2016 12:00:00 PM,82832.0
5/5/2016 5:00:00 PM,5/5/2016 1:00:00 PM,82316.0
5/5/2016 6:00:00 PM,5/5/2016 2:00:00 PM,80867.0
5/5/2016 7:00:00 PM,5/5/2016 3:00:00 PM,80170.0
5/5/2016 8:00:00 PM,5/5/2016 4:00:00 PM,80513.0
5/5/2016 9:00:00 PM,5/5/2016 5:00:00 PM,79947.0
5/5/2016 10:00:00 PM,5/5/2016 6:00:00 PM,79261.0
5/5/2016 11:00:00 PM,5/5/2016 7:00:00 PM,78964.0
5/6/2016 12:00:00 AM,5/5/2016 8:00:00 PM,83021.0
5/6/2016 1:00:00 AM,5/5/2016 9:00:00 PM,82086.0
5/6/2016 2:00:00 AM,5/5/2016 10:00:00 PM,73226.0
5/6/2016 3:00:00 AM,5/5/2016 11:00:00 PM,67094.0
5/6/2016 4:00:00 AM,5/6/2016 12:00:00 AM,63242.0
5/6/2016 5:00:00 AM,5/6/2016 1:00:00 AM,61896.0
5/6/2016 6:00:00 AM,5/6/2016 2:00:00 AM,59740.0
5/6/2016 7:00:00 AM,5/6/2016 3:00:00 AM,59927.0
5/6/2016 8:00:00 AM,5/6/2016 4:00:00 AM,62234.0
5/6/2016 9:00:00 AM,5/6/2016 5:00:00 AM,66854.0
5/6/2016 10:00:00 AM,5/6/2016 6:00:00 AM,75880.0
5/6/2016 11:00:00 AM,5/6/2016 7:00:00 AM,80329.0
5/6/2016 12:00:00 PM,5/6/2016 8:00:00 AM,81509.0
5/6/2016 1:00:00 PM,5/6/2016 9:00:00 AM,82411.0
5/6/2016 2:00:00 PM,5/6/2016 10:00:00 AM,83074.0
5/6/2016 3:00:00 PM,5/6/2016 11:00:00 AM,82834.0
5/6/2016 4:00:00 PM,5/6/2016 12:00:00 PM,82354.0
5/6/2016 5:00:00 PM,5/6/2016 1:00:00 PM,81863.0
5/6/2016 6:00:00 PM,5/6/2016 2:00:00 PM,80453.0
5/6/2016 7:00:00 PM,5/6/2016 3:00:00 PM,79327.0
5/6/2016 8:00:00 PM,5/6/2016 4:00:00 PM,79598.0
5/6/2016 9:00:00 PM,5/6/2016 5:00:00 PM,79208.0
5/6/2016 10:00:00 PM,5/6/2016 6:00:00 PM,77806.0
5/6/2016 11:00:00 PM,5/6/2016 7:00:00 PM,77000.0
5/7/2016 12:00:00 AM,5/6/2016 8:00:00 PM,80192.0
5/7/2016 1:00:00 AM,5/6/2016 9:00:00 PM,79629.0
5/7/2016 2:00:00 AM,5/6/2016 10:00:00 PM,72060.0
5/7/2016 3:00:00 AM,5/6/2016 11:00:00 PM,65509.0
5/7/2016 4:00:00 AM,5/7/2016 12:00:00 AM,62387.0
5/7/2016 5:00:00 AM,5/7/2016 1:00:00 AM,60422.0
5/7/2016 6:00:00 AM,5/7/2016 2:00:00 AM,58546.0
5/7/2016 7:00:00 AM,5/7/2016 3:00:00 AM,57939.0
5/7/2016 8:00:00 AM,5/7/2016 4:00:00 AM,58904.0
5/7/2016 9:00:00 AM,5/7/2016 5:00:00 AM,60229.0
5/7/2016 10:00:00 AM,5/7/2016 6:00:00 AM,62816.0
5/7/2016 11:00:00 AM,5/7/2016 7:00:00 AM,65783.0
5/7/2016 12:00:00 PM,5/7/2016 8:00:00 AM,69798.0
5/7/2016 1:00:00 PM,5/7/2016 9:00:00 AM,72106.0
5/7/2016 2:00:00 PM,5/7/2016 10:00:00 AM,73392.0
5/7/2016 3:00:00 PM,5/7/2016 11:00:00 AM,73548.0
5/7/2016 4:00:00 PM,5/7/2016 12:00:00 PM,73046.0
5/7/2016 5:00:00 PM,5/7/2016 1:00:00 PM,72228.0
5/7/2016 6:00:00 PM,5/7/2016 2:00:00 PM,71461.0
5/7/2016 7:00:00 PM,5/7/2016 3:00:00 PM,71490.0
5/7/2016 8:00:00 PM,5/7/2016 4:00:00 PM,72050.0
5/7/2016 9:00:00 PM,5/7/2016 5:00:00 PM,72314.0
5/7/2016 10:00:00 PM,5/7/2016 6:00:00 PM,72081.0
5/7/2016 11:00:00 PM,5/7/2016 7:00:00 PM,71525.0
5/8/2016 12:00:00 AM,5/7/2016 8:00:00 PM,74896.0
5/8/2016 1:00:00 AM,5/7/2016 9:00:00 PM,74940.0
5/8/2016 2:00:00 AM,5/7/2016 10:00:00 PM,69148.0
5/8/2016 3:00:00 AM,5/7/2016 11:00:00 PM,64239.0
5/8/2016 4:00:00 AM,5/8/2016 12:00:00 AM,59315.0
5/8/2016 5:00:00 AM,5/8/2016 1:00:00 AM,57529.0
5/8/2016 6:00:00 AM,5/8/2016 2:00:00 AM,55931.0
5/8/2016 7:00:00 AM,5/8/2016 3:00:00 AM,55355.0
5/8/2016 8:00:00 AM,5/8/2016 4:00:00 AM,55815.0
5/8/2016 9:00:00 AM,5/8/2016 5:00:00 AM,56580.0
5/8/2016 10:00:00 AM,5/8/2016 6:00:00 AM,57537.0
5/8/2016 11:00:00 AM,5/8/2016 7:00:00 AM,60815.0
5/8/2016 12:00:00 PM,5/8/2016 8:00:00 AM,65577.0
5/8/2016 1:00:00 PM,5/8/2016 9:00:00 AM,67999.0
5/8/2016 2:00:00 PM,5/8/2016 10:00:00 AM,69170.0
5/8/2016 3:00:00 PM,5/8/2016 11:00:00 AM,69301.0
5/8/2016 4:00:00 PM,5/8/2016 12:00:00 PM,69716.0
5/8/2016 5:00:00 PM,5/8/2016 1:00:00 PM,69349.0
5/8/2016 6:00:00 PM,5/8/2016 2:00:00 PM,68892.0
5/8/2016 7:00:00 PM,5/8/2016 3:00:00 PM,69140.0
5/8/2016 8:00:00 PM,5/8/2016 4:00:00 PM,69640.0
5/8/2016 9:00:00 PM,5/8/2016 5:00:00 PM,70674.0
5/8/2016 10:00:00 PM,5/8/2016 6:00:00 PM,70688.0
5/8/2016 11:00:00 PM,5/8/2016 7:00:00 PM,71383.0
5/9/2016 12:00:00 AM,5/8/2016 8:00:00 PM,76319.0
5/9/2016 1:00:00 AM,5/8/2016 9:00:00 PM,74913.0
5/9/2016 2:00:00 AM,5/8/2016 10:00:00 PM,68562.0
5/9/2016 3:00:00 AM,5/8/2016 11:00:00 PM,63572.0
5/9/2016 4:00:00 AM,5/9/2016 12:00:00 AM,60166.0
5/9/2016 5:00:00 AM,5/9/2016 1:00:00 AM,59435.0
5/9/2016 6:00:00 AM,5/9/2016 2:00:00 AM,57953.0
5/9/2016 7:00:00 AM,5/9/2016 3:00:00 AM,58327.0
5/9/2016 8:00:00 AM,5/9/2016 4:00:00 AM,60179.0
5/9/2016 9:00:00 AM,5/9/2016 5:00:00 AM,64802.0
5/9/2016 10:00:00 AM,5/9/2016 6:00:00 AM,72693.0
5/9/2016 11:00:00 AM,5/9/2016 7:00:00 AM,76737.0
5/9/2016 12:00:00 PM,5/9/2016 8:00:00 AM,78883.0
5/9/2016 1:00:00 PM,5/9/2016 9:00:00 AM,80406.0
5/9/2016 2:00:00 PM,5/9/2016 10:00:00 AM,81660.0
