"","P_E_DA","E_DA","P_E_RT","E_RT_total","P_R_REG_a","P_R_REG_d","R_REG_a","R_REG_d","delta_REG_p","delta_REG_n"
"1126",29.075498,96119,26.046353,5036.394,23.73274,28.35362,218,177.3,0.00127380952380952,0
"1127",26.106087,89786,22.96632,5881.929,11.1996,11.798,221.9,178.1,0,0.0445095238095238
"1128",23.731904,83541,20.71568,6605.732,8.5119,9.3279,221.2,177.9,0,0.146485714285714
"1129",23.439777,84030,16.858687,2341.505,11.1294,11.7126,137.5,171.4,0,0.494
"1130",22.471341,82369,16.448804,2158.859,10.868,11.7304,139.6,171.4,0,0.29748253968254
"1131",21.881377,81668,17.092821,2091.28,8.24756,8.7166,136.5,171.4,0.0379111111111111,0
"1132",21.977119,82138,17.641961,1962.533,4.624,5.1,136.4,171.4,0,0.0862380952380952
"1133",23.042256,84531,18.516465,1618.33199999999,8.16139,9.0138,137.7,171.4,0,0.103984126984127
"1134",26.216489,91182,21.090847,432.275999999998,19.4376,36.2208,226.2,187.9,0,0.195652380952381
"1135",36.762665,101760,34.65763,-1223.22500000001,30.7719,36.4356,297.1,154,0.468597619047619,0
"1136",36.643388,104630,22.817541,313.830000000002,4.2504,6.4152,297.3,154,0,0.867383333333333
"1137",38.472553,103425,22.520789,843.826000000001,4.26732,4.65948,273.3,187.8,0,0.374621428571429
"1138",31.875219,102545,22.769165,481.580000000002,17.7952,23.1072,237.6,187.8,0.000580952380952383,0
"1139",30.487639,101536,24.168151,251.570000000007,34.17708,60.34929,226.3,187.7,0,0.0844714285714286
"1140",28.974501,99565,22.374055,617.399000000005,11.7348,14.8808,262.7,188.4,0,0.180797619047619
"1141",27.026031,97314,21.43323,1549.10799999999,13.20704,16.3724,267.8,188.4,0,0.242890476190476
"1142",26.061723,96125,22.714988,1918.413,43.7798,59.7698,266.2,155.2,0,0.00910952380952381
"1143",25.7305,94808,19.858527,2243.148,16.31511,21.15927,258.5,187.3,0,0.0291142857142857
"1144",25.78156,94156,21.917584,2493.75,22.35484,26.90596,258.5,187.2,0,0.0353785714285714
"1145",26.416623,96043,22.318467,1883.63099999999,11.65366,15.5839,266.6,155.4,0,0.179864285714286
"1146",33.797713,101566,22.43351,70.997000000003,11.592,15.8256,288.9,154,0,0.088302380952381
"1147",40.776819,106235,24.951931,96.8509999999951,2.4276,2.4276,287.3,154,0,0.0900952380952381
"1148",35.255805,106155,24.13605,904.131999999998,0.4752,0.4752,287.3,154,0,0.195930952380952
"1149",32.72993,104722,23.429199,998.429000000004,16.6364,22.38456,292.1,154,0,0.125088095238095
"1150",30.184191,100968,21.986536,1488.306,20.3915,24.259,254.7,187.1,0,0.00546904761904762
"1151",26.215101,94688,22.049235,2443.57799999999,30.1185,36.5427,215.9,187.2,0,0.140069047619048
"1152",24.541927,88320,21.469976,3719.61599999999,20.12397,26.84211,231.8,187.2,0,0.164040476190476
"1153",24.127075,85968,21.150576,2558.52,12.8605,19.92265,195.5,184.8,0,0.334669841269841
"1154",23.784438,84945,22.255544,1854.255,12.6582,16.4509,187.4,184.8,0,0.00433333333333334
"1155",23.559454,84277,22.133861,2000.461,9.9008,10.2544,193.9,184.8,0.0167301587301587,0
"1156",23.954672,85170,20.973578,1879.489,12.52418,15.96332,193.1,184.8,0,0.0503301587301587
"1157",25.271506,88690,20.950115,870.566000000006,23.685,24.705,191.8,184.8,0,0.0330825396825397
"1158",31.608271,94779,23.524691,475.501999999993,16.75906,22.85944,248.3,207.5,0,0.0454714285714286
"1159",46.312505,107485,29.881829,-2617.647,14.41748,15.01346,303.3,173.4,0,0.105421428571429
"1160",45.56274,110329,27.551026,-1046.931,0.0616,0.0616,304,173.4,0,0.354664285714286
"1161",35.228929,107895,23.620308,-321.070999999996,2.03808,2.464,249,207.2,0,0.529847619047619
"1162",32.688418,106177,21.907564,-1458.52800000001,21.01088,43.868,249.5,207.3,0,0.271859523809524
"1163",31.552154,104562,21.762502,-2128.155,16.76925,28.11231,248.9,207.6,0,0.112521428571429
"1164",29.896293,101868,20.911222,-1820.931,10.53582,10.88114,256.8,207.6,0,0.286961904761905
"1165",27.886061,99198,19.678954,-1104.23699999999,16.85016,32.28222,230.4,205.8,0,0.25517380952381
