"","x"
"1123",54.98
"1124",50.92
"1125",42.06
"1126",38.95
"1127",37.98
"1128",33.3
"1129",32.52
"1130",31.69
"1131",31.13
"1132",31.35
"1133",31.69
"1134",32.5
"1135",36.96
"1136",47.95
"1137",45.01
"1138",44.05
"1139",48.98
"1140",49.9
"1141",48.98
"1142",40
"1143",42.92
"1144",48.53
"1145",48.81
"1146",50.92
"1147",53.04
"1148",51.14
"1149",49.77
"1150",49.52
"1151",46.34
"1152",38.82
"1153",35.1
"1154",33.09
"1155",35.08
"1156",34.3
"1157",34.3
"1158",35.36
"1159",38.81
"1160",42.08
"1161",46.81
"1162",50
"1163",49.85
"1164",48.24
"1165",42.25
"1166",36.64
"1167",35.64
"1168",37.35
"1169",42.04
"1170",47.94
"1171",53.94
"1172",48.46
"1173",39.01
"1174",35
"1175",33.03
"1176",30.29
"1177",30.81
"1178",21.68
"1179",12.44
"1180",9.93
"1181",9.53
"1182",10.13
"1183",10.3
"1184",18.12
"1185",25.47
"1186",29.59
"1187",29.82
"1188",32.09
"1189",30.17
"1190",31.07
"1191",31.41
"1192",30.34
"1193",31.99
"1194",41.37
"1195",53.65
"1196",52.8
"1197",39.28
"1198",33.95
"1199",35.05
"1200",31.01
"1201",30.75
"1202",27.22
"1203",26.5
"1204",25.04
"1205",20.95
"1206",21.93
"1207",38.49
"1208",48.35
"1209",45.82
"1210",38.92
"1211",37.92
"1212",39.38
"1213",39.18
"1214",36.08
"1215",33.03
"1216",31.87
"1217",31.63
"1218",34.92
"1219",37.94
"1220",34.27
"1221",29.92
"1222",19.22
"1223",9.94
"1224",9.48
"1225",12.54
"1226",10.19
"1227",10.06
"1228",11.12
"1229",12.56
"1230",25.16
"1231",33
"1232",38.96
"1233",38.94
"1234",38.94
"1235",38.95
"1236",38.95
"1237",36.63
"1238",36.65
"1239",36.41
"1240",36.68
"1241",34.98
"1242",39.9
"1243",57.42
"1244",45.8
"1245",46.14
"1246",40
"1247",34.25
"1248",30.03
"1249",22.92
"1250",10.26
"1251",9.5
"1252",7.66
"1253",5.03
"1254",7.68
"1255",21.52
"1256",31.86
"1257",32.51
"1258",32.51
"1259",32.29
"1260",32.96
"1261",32.01
"1262",30.94
"1263",29.94
"1264",31.28
"1265",31.24
"1266",32.48
"1267",35.93
"1268",34.05
"1269",31.65
"1270",23.45
"1271",10.26
"1272",9.47
"1273",-6.58
"1274",-5.03
"1275",0.01
"1276",7.03
"1277",9.44
"1278",25.53
"1279",35
"1280",46.01
"1281",48.5
"1282",46.41
"1283",43.36
"1284",40.61
"1285",32.91
"1286",32.4
"1287",31.24
"1288",27.68
"1289",27.64
"1290",32.03
"1291",32.93
"1292",32.09
"1293",29.79
"1294",24.07
"1295",12.03
"1296",9.27
"1297",6.93
"1298",-4.99
"1299",-27.08
"1300",-0.9
"1301",7
"1302",9.49
"1303",30.04
"1304",33.44
"1305",34.3
"1306",33.91
"1307",33.48
"1308",33.18
"1309",32.49
"1310",32.41
"1311",32.24
"1312",34.9
"1313",44.92
"1314",50.1
"1315",57.52
"1316",58.19
"1317",43.94
"1318",38.06
"1319",39.68
"1320",36.66
"1321",29.28
"1322",29.09
"1323",28.94
"1324",29.45
"1325",29.93
"1326",29.53
"1327",32.87
"1328",41.48
"1329",41.99
"1330",40.44
"1331",37.13
"1332",32.04
"1333",29.46
"1334",28.01
"1335",22.86
"1336",28.88
"1337",30.16
"1338",38
"1339",39.57
"1340",34.65
"1341",26.01
"1342",12.94
"1343",11.91
"1344",8.8
"1345",7.83
"1346",3
"1347",4.65
"1348",7.74
"1349",8.02
"1350",8.95
"1351",7.83
"1352",7.84
"1353",9.63
"1354",10.36
"1355",12.91
"1356",12.98
"1357",9.92
"1358",9.75
"1359",9.98
"1360",10.4
"1361",12.78
"1362",28
"1363",31.76
"1364",30.96
"1365",25.34
"1366",23.86
"1367",20.86
"1368",10.35
"1369",22.01
"1370",15.48
"1371",12.54
"1372",15.59
"1373",18.84
"1374",30.11
"1375",38.66
"1376",47.29
"1377",47.52
"1378",39.94
"1379",36.87
"1380",36.6
"1381",30.91
"1382",30.58
"1383",30.59
"1384",30.83
"1385",32.15
"1386",32.89
"1387",34.44
"1388",32.46
"1389",30.62
"1390",27.05
"1391",12.96
"1392",7.95
"1393",7.81
"1394",7.89
"1395",7.86
"1396",8.56
"1397",9.79
"1398",10.34
"1399",28.99
"1400",32.86
"1401",33.2
"1402",31.02
"1403",30.76
"1404",30.57
"1405",32.42
"1406",39.8
"1407",39.86
"1408",39.17
"1409",39.52
"1410",40.13
"1411",49.2
"1412",53.12
"1413",39.11
"1414",38.78
"1415",31.4
"1416",30.06
"1417",31.05
"1418",29.57
"1419",28.61
"1420",25.52
"1421",28.65
"1422",29.98
"1423",32.4
"1424",41.96
"1425",42.08
"1426",39.99
"1427",39.9
"1428",36.92
"1429",31.22
"1430",30.74
"1431",30.83
"1432",32.16
"1433",38.63
"1434",46.82
"1435",51.99
"1436",49.68
"1437",39.93
"1438",34.9
"1439",31.93
"1440",29.7
"1441",29.73
"1442",29.49
"1443",25.99
"1444",26
"1445",26.17
"1446",26.04
"1447",31.04
"1448",33.57
"1449",34.19
"1450",30.85
"1451",26
"1452",25.08
"1453",12.63
"1454",10.45
"1455",10.48
"1456",25.01
"1457",25.92
"1458",32.17
"1459",39.9
"1460",38.91
"1461",31.95
"1462",30.47
"1463",29.25
"1464",25.07
"1465",27.02
"1466",26.47
"1467",26.03
"1468",28.99
"1469",30.91
"1470",32.36
"1471",41.91
"1472",48
"1473",47.57
"1474",46.5
"1475",43.49
"1476",43.47
"1477",41.02
"1478",39.83
"1479",39.1
"1480",38.6
"1481",40.97
"1482",41.91
"1483",42.18
"1484",44.95
"1485",41.01
"1486",35.29
"1487",36.25
"1488",34.56
"1489",31.6
"1490",30.25
"1491",30.04
"1492",28.44
"1493",28.26
"1494",29.22
"1495",28.16
"1496",30
"1497",33.96
"1498",39.34
"1499",36.73
"1500",36.69
"1501",33.76
"1502",31.44
"1503",31.81
"1504",33.67
"1505",34.9
"1506",40.44
"1507",44.69
"1508",47.25
"1509",42.01
"1510",35.07
"1511",31.87
"1512",22.68
"1513",21.11
"1514",15.44
"1515",11.56
"1516",10.6
"1517",9.84
"1518",8.06
"1519",9.83
"1520",9.13
"1521",9.88
"1522",11.32
"1523",9.97
"1524",10
"1525",10.8
"1526",9.96
"1527",9.4
"1528",9.96
"1529",17.22
"1530",30.03
"1531",33.69
"1532",37.95
"1533",35.02
"1534",32.85
"1535",32.92
"1536",31.67
"1537",31.24
"1538",29.04
"1539",27.99
"1540",25.35
"1541",27.3
"1542",29.07
"1543",34.98
"1544",42.4
"1545",44.28
"1546",47.03
