"","G_gas","G_coal_brown","G_coal_hard","G_bio","G_hydro","G_nuclear","G_wind_on","G_wind_off","G_pv","G_otherRE","G_phes","G_otherCONV"
"502",3983.75,16031,14740.25,4655.75,1076,7621.5,4679.25,424.25,0,106,109,7986.25
"503",3565.75,15929.25,14369.25,4655,1069,7670,4437.5,474.5,0,106,494.75,8431.75
"504",2943.75,15878,13789.25,4660.25,1056.25,7680.5,4038,555,0,106,234.5,8026.5
"505",2838.25,15648.5,13219,4659,1076,7693.25,3867,576.75,0,106,104.25,7487.75
"506",2850.75,15684.25,12148.75,4638.25,1102.5,7706.25,3675.5,621.75,0,106,33,7368.5
"507",2678,15680.75,11930.75,4636.5,1116.5,7711.25,3423.25,571,0,106,47.25,6982
"508",2668.5,15673.25,11278.75,4630.75,1107.25,7729.5,3450,562.75,0,106,54.75,7058.75
"509",2654.25,15607.25,11153.5,4648.25,1094.25,7736.25,3432,575.5,0,106,12,7262
"510",2672.25,16111.25,11140,4647.75,1087.25,7745.5,3290,527,0,106,0.5,7044.75
"511",2706.75,16178,10940.5,4641.75,1039.25,7747.75,3282,484,0,106,7.25,6835
"512",2701.25,16318.75,11436.5,4653.25,1035.75,7749.5,3135.75,549.25,0,106,142.75,6889
"513",2710,16391.75,13126.5,4657.75,1025.75,7750,2959.25,528.75,460.75,106,295,7232.25
"514",2823,16264.75,14745.25,4673,1022.25,7749.75,2598.75,351.5,2701.75,106,1115.5,7737.5
"515",2756.75,16122.25,14739,4678,1011.75,7744.25,1890.25,277.75,5834.5,106,411.25,8089
"516",2756,16102.5,14647,4665.75,989.25,7742,1057.75,276,8241,106,53.75,8298.75
"517",2838.25,16207,13346.25,4684,996.25,7731,620.75,156,9516,106,25.75,8238.25
"518",2853.75,16224.25,12769.25,4685.5,1007.25,7725.25,442.25,105.25,9210.5,106,12,8013.75
"519",2887.25,16255.5,13536.75,4677.75,1000.5,7718.5,424,67,7063.75,106,11.75,7958
"520",2920.25,16402.25,14642.25,4677.25,1010,7720.75,503.5,41,3676.5,106,35.25,8269.75
"521",3102,16950.25,15924,4673,1024,7721,742.5,24,663.75,106,868,8875
"522",3247.25,17092.75,16281.5,4674.75,1038,7722.5,1124,8.75,16,106,3257.75,8872
"523",3323.25,17398.75,16313.75,4676.25,1059.75,7720,1350,0.25,0,106,3376.25,9079.25
"524",3318,17492.5,16315.5,4670,1022.5,7721.75,1386,1,0,106,2771,9013
"525",3301,17481.75,16220.25,4670.75,1002.75,7721,1396.5,1.25,0,106,1159.25,8843.25
"526",3273.5,17431.5,16223,4680.75,972.5,7742.5,1415,7,0,106,24.5,8735.75
"527",3237.5,17355.25,16218.5,4657,968.75,7722.25,1294.5,7.5,0,106,616.75,8718.25
"528",3178,17351.5,15971.25,4660.75,974.75,7722,1133.25,10.25,0,106,190.75,7832.75
"529",2741,17329,15529,4656,977,7723.5,984.5,5,0,106,80.5,7022.75
"530",2864,17312.25,15077,4645.75,978.25,7720,915.5,15.5,0,106,55,7118.25
"531",2877.5,17279.25,14990.5,4639.5,975.75,7723.75,1292.5,39,0,106,4.75,7468.75
"532",2884.75,17269.5,14499.5,4634,974.25,7726.5,1471.75,66.25,0,106,18.75,7957.5
"533",3326.5,17413.5,15098.75,4629,975.5,7725,1519.25,41,0,106,20.25,8793
"534",3925.5,17645.75,16313.25,4634.25,970,7722.75,1459.5,44.5,0,106,130.5,8882.75
"535",5144,17527.25,16924.75,4636.25,984,7720.25,1352.25,111.75,0,106,1728.25,9527.75
"536",5913.5,17491.5,17244.25,4634.75,1119.75,7719.5,1345.25,325.25,0.75,106,3567,10407.75
"537",6067,17486.25,17420,4655.75,1099.5,7717,1337.25,521,434.75,106,5822.25,11309.25
