Date;Time of day;Germany/Austria/Luxembourg[Euro/MWh];Denmark 1[Euro/MWh];Denmark 2[Euro/MWh];France[Euro/MWh];Northern Italy[Euro/MWh];Netherlands[Euro/MWh];Poland[Euro/MWh];Sweden 4[Euro/MWh];Switzerland[Euro/MWh];Slovenia[Euro/MWh];Czech Republic[Euro/MWh];Hungary[Euro/MWh]
Jan 1, 2017;9:00 PM;38.83;29.94;29.94;55;55;52;29.94;29.94;53.6;55;34.6;51.97
Jan 1, 2017;10:00 PM;42.17;29.65;29.65;56.02;54;52.44;29.65;29.65;54.01;54;31.11;43.51
Jan 1, 2017;11:00 PM;33.06;29.36;29.36;52;52;49.27;25.76;29.36;53.07;52;20;42.78
Jan 2, 2017;12:00 AM;30.54;29.4;29.4;54.99;53;30.54;25.72;29.4;51.85;51.8;24;24.84
Jan 2, 2017;1:00 AM;28.91;28.91;28.91;50.18;50.18;30;19.79;28.91;50.04;32.7;23.45;23.45
Jan 2, 2017;2:00 AM;28.11;28.11;28.11;49.11;49.11;33.21;19.1;28.11;48.34;28.11;20.89;20.89
Jan 2, 2017;3:00 AM;27.89;27.89;27.89;45.78;48.15;32.05;18.89;27.89;46.89;27.89;19.95;19.95
Jan 2, 2017;4:00 AM;27.73;27.73;28.26;44.99;48.41;31.28;20.51;28.26;45.51;27.73;22.81;22.81
Jan 2, 2017;5:00 AM;31.18;30.43;30.43;46.97;48.15;31.43;25.71;30.43;46.79;32.6;26.15;26.15
Jan 2, 2017;6:00 AM;37.99;32.85;32.85;52;52;37.99;27.3;32.85;51.29;47.01;39;44.72
Jan 2, 2017;7:00 AM;50.98;33.91;33.91;59.07;59.07;45.2;31.93;33.91;60.97;57.67;50.34;50.34
Jan 2, 2017;8:00 AM;53.88;34.87;34.87;64.98;64.15;46.31;34.87;34.87;61.25;64.15;57;57
Jan 2, 2017;9:00 AM;53.94;35.22;35.22;65.02;62.5;48.84;37.05;35.22;61.04;62.5;57;60.98
Jan 2, 2017;10:00 AM;53.54;35.41;35.41;68.49;61.7;53.32;37.13;35.41;61.22;61.7;58.68;58.68
Jan 2, 2017;11:00 AM;54.91;35.07;35.07;65.99;61.2;54.53;37.73;35.07;61.02;61.2;59.05;59.73
Jan 2, 2017;12:00 PM;54.08;34.85;34.85;65.75;55.69;53.82;38;34.85;61.25;55.69;58.67;58.67
Jan 2, 2017;1:00 PM;55.67;34.7;34.7;64.98;55.67;55.67;37.96;34.7;61.22;55.67;60.01;60.01
Jan 2, 2017;2:00 PM;55.98;34.8;34.8;61.19;61.19;55.98;37.55;34.8;60.92;61.19;61.27;61.27
Jan 2, 2017;3:00 PM;56;35.93;35.93;59.71;59.71;56;37.67;35.93;59.97;59.71;63.49;63.49
Jan 2, 2017;4:00 PM;57.77;37.52;37.52;60.96;60.96;57.77;39.17;37.52;60.91;60.96;67.04;67.04
Jan 2, 2017;5:00 PM;67.66;38.48;42.2;73.55;73.55;67.66;40.01;40.01;66.36;73.55;74.09;74.09
Jan 2, 2017;6:00 PM;55.1;36.88;39.17;77.42;77.42;55.1;39.17;39.17;64.53;63.1;67;67
Jan 2, 2017;7:00 PM;53.92;35.52;35.52;75;75;47.94;38.5;35.52;61.66;63.1;63;63
Jan 2, 2017;8:00 PM;49.07;35.23;35.23;70.11;70.11;40.99;38.25;35.23;61.25;70.11;57;60.91
Jan 2, 2017;9:00 PM;40.25;34.74;34.74;61.21;59.69;40.25;37.39;34.74;61.24;59.69;53;60.06
Jan 2, 2017;10:00 PM;45.92;32.99;32.99;60.1;54;40.99;32.99;32.99;61.22;54;46.9;49.93
Jan 2, 2017;11:00 PM;38.88;30.89;30.94;58.78;52;36.84;30.94;30.94;60.11;49;36;37.96
Jan 3, 2017;12:00 AM;36.02;30.65;30.65;54.68;50.56;36.02;30.65;30.65;60.61;36.02;33.36;33.36
Jan 3, 2017;1:00 AM;34.98;30.37;30.37;52.74;47.09;34.98;30.37;30.37;56.06;34.98;34.25;34.25
Jan 3, 2017;2:00 AM;33.64;30.15;30.15;49.25;44.43;33.64;28.93;30.15;53.21;33.64;32.39;32.39
Jan 3, 2017;3:00 AM;33.89;30.14;30.14;45;45;33.62;28.94;30.14;52.96;33.89;31.6;31.6
Jan 3, 2017;4:00 AM;33.5;30.4;30.4;45.18;45.18;33.5;29.43;30.4;52.02;33.5;31.8;32.81
Jan 3, 2017;5:00 AM;33.91;30.75;32.24;49.25;46.74;33.91;32.24;32.24;53.33;46.74;33.2;44.04
Jan 3, 2017;6:00 AM;48.13;31.02;33.5;57.65;55;40.9;32.97;33.5;62.94;55;41.73;59.68
Jan 3, 2017;7:00 AM;54.61;31.58;35.8;70.51;59.73;43.72;35.8;35.8;69.05;59.73;52.26;67.59
Jan 3, 2017;8:00 AM;57.93;31.77;36.78;74.04;61.81;54.12;36.78;36.78;72.97;61.81;50.84;70.47
Jan 3, 2017;9:00 AM;57.18;32.96;36.17;75.32;61.81;54.94;38.77;36.17;74.37;61.81;50.15;70.47
Jan 3, 2017;10:00 AM;52.27;31.25;35.4;74.65;61.94;52.27;41.06;35.4;75.19;61.94;47.05;70.47
Jan 3, 2017;11:00 AM;49.94;30.82;34.92;73.31;63.8;49.94;41.32;34.92;74.22;63.8;45.96;70.25
Jan 3, 2017;12:00 PM;46.3;30.5;34.81;72.71;57.49;46.3;38.46;34.81;70.17;57.49;45.06;69.78
Jan 3, 2017;1:00 PM;41.51;30.21;34.09;71.69;56.74;41.51;37.65;34.09;70.16;56.74;51;70.25
Jan 3, 2017;2:00 PM;37.08;30.02;34.25;70.51;60;40.9;34.65;34.25;70.2;60;55;70.47
Jan 3, 2017;3:00 PM;37.03;29.71;34.51;69.94;64.01;40.9;34.51;34.51;72.27;64.01;46;71.37
Jan 3, 2017;4:00 PM;39.08;29.79;34.94;71.11;68.94;40.9;35.07;34.94;75.08;68.94;48;76.19
Jan 3, 2017;5:00 PM;42.14;29.9;34.59;81.32;67.01;45;34.94;34.59;84.44;67.01;46.63;82.03
Jan 3, 2017;6:00 PM;36.67;29.78;34.06;137.21;61.99;36.67;34.06;34.06;85.92;61.99;46.43;83.65
Jan 3, 2017;7:00 PM;36.03;29.56;32.93;90.17;58.5;40;32.93;32.93;82.66;58.5;46;79.34
Jan 3, 2017;8:00 PM;33.55;29.4;31.8;74.94;60;40.9;31.8;31.8;77.07;60;33.45;74.3
Jan 3, 2017;9:00 PM;24.56;24.56;26.31;71.59;59.48;40.9;30.51;30.51;70.71;59.48;27.88;70.25
Jan 3, 2017;10:00 PM;17.77;17.77;17.77;68.73;63;37.3;25.68;29.27;69.31;63;24;66.06
Jan 3, 2017;11:00 PM;9.49;0.12;9.49;67.42;56.74;32.22;16.7;28.46;66.08;56.74;15.5;60.3
Jan 4, 2017;12:00 AM;8.5;0.11;0.11;62.69;62.36;28.9;16.38;25.93;55.6;62.36;9.45;56.02
Jan 4, 2017;1:00 AM;-0.05;-0.05;-0.05;56.04;56.04;28.88;16.33;25.41;53.59;56.04;15.99;42.5
Jan 4, 2017;2:00 AM;-6.27;-6.27;-6.27;54.1;54.1;28.68;16.32;25.35;52.67;54.1;15.99;34.03
Jan 4, 2017;3:00 AM;-5.09;-5.09;-5.09;52;52;28.67;16.33;25.45;52.48;52;12.19;34
Jan 4, 2017;4:00 AM;0.06;0.06;0.06;51.36;51.36;28.52;16.35;25.97;52.7;51.36;9.42;33.25
Jan 4, 2017;5:00 AM;10.55;10.55;10.55;53.02;53.02;28.79;17.22;27.87;53.44;53.02;9.5;37.22
Jan 4, 2017;6:00 AM;10.98;10.98;12.55;62.4;62.4;31.33;23.69;28.92;61.08;62.4;25.23;57.3
Jan 4, 2017;7:00 AM;31.63;30.65;30.65;72.32;68;32.6;30.65;30.65;69.05;68;40.83;59.68
Jan 4, 2017;8:00 AM;34.94;30.44;32.13;73.01;73.01;42;30.75;32.13;71.12;73.01;45;63.86
Jan 4, 2017;9:00 AM;33.27;30.44;33.27;73;73;44;33.65;33.27;71.38;73;36.13;64.65
Jan 4, 2017;10:00 AM;33.52;30.57;33.52;72.85;72.85;44;33.63;33.52;72.15;72.85;36.48;69.73
Jan 4, 2017;11:00 AM;34.81;30.62;33.93;72.51;72.51;44;35.87;33.93;71.06;72.51;35.1;69.63
Jan 4, 2017;12:00 PM;35.08;30.75;33.93;71.72;66.42;39.94;35.24;33.93;70.61;66.42;35.27;68.07
Jan 4, 2017;1:00 PM;35.88;30.68;33.94;71.59;69.16;39.9;36.53;33.94;69.94;69.16;35.5;61.22
Jan 4, 2017;2:00 PM;36.03;30.73;34.15;69;69;38.09;34.15;34.15;67.68;69;37;60.34
Jan 4, 2017;3:00 PM;36.17;30.84;35.3;67.13;67.13;39.94;35.3;35.3;67.4;67.13;39.9;61.22
Jan 4, 2017;4:00 PM;36.58;31.22;36.28;68.26;68.26;44.94;37.7;36.28;69.05;68.26;49.52;63.86
Jan 4, 2017;5:00 PM;46.95;31.47;36.81;72.15;72.15;66.01;37.79;36.81;72.05;72.15;55.3;79.91
Jan 4, 2017;6:00 PM;49.45;31.29;35.55;76.8;76.8;49.45;37.45;35.55;72.96;76.8;50.52;67.2
Jan 4, 2017;7:00 PM;48.37;31.15;34.5;76.16;71.01;48.37;37.44;34.5;71.07;71.01;50;63.86
Jan 4, 2017;8:00 PM;38.02;31.03;33.89;72.48;69.84;38.02;36.93;33.89;66.51;69.84;41.6;59.68
Jan 4, 2017;9:00 PM;34.55;30.96;33.02;66.16;64.74;34.55;33.02;33.02;65.08;64.74;37;51.42
Jan 4, 2017;10:00 PM;33.33;30.87;32.33;64.98;62.36;33.33;32.33;32.33;63.08;62.36;34.54;46.02
Jan 4, 2017;11:00 PM;32.05;30.44;30.44;61.95;61.95;32.05;29.86;30.44;60.55;60.62;28.5;38.64
Jan 5, 2017;12:00 AM;36.07;30.51;30.51;51.22;51.22;42.7;23.44;30.51;57.96;51.22;34.2;34.2
Jan 5, 2017;1:00 AM;36.32;30.23;30.23;48.41;48.41;36.32;23.11;30.23;53.99;48.41;33.5;33.5
Jan 5, 2017;2:00 AM;30.99;30;30;50;50;30.99;23.04;30;52.07;50;31.78;31.78
Jan 5, 2017;3:00 AM;30.97;30.06;30.06;47.46;47.46;31.06;23.04;30.06;51.01;47.46;31.49;31.49
Jan 5, 2017;4:00 AM;35.64;30.61;30.61;42.34;42.34;35.64;24.37;30.61;48.29;42.34;33.98;33.98
Jan 5, 2017;5:00 AM;35.73;28.96;32.45;45.18;45.18;35.73;26.91;32.45;49.8;45.18;36.97;36.97
Jan 5, 2017;6:00 AM;39.03;33.82;34.87;54.09;54.09;39.03;29.96;34.87;58.4;54.09;55;55.34
Jan 5, 2017;7:00 AM;51.7;37.21;42.07;66.21;65.03;41.27;31.69;42.07;67.36;65.03;60;62.2
Jan 5, 2017;8:00 AM;57.98;38.98;43.38;69.7;68.91;57.98;36.87;43.38;70.64;68.91;65.08;65.08
Jan 5, 2017;9:00 AM;54.11;39.01;42.04;72.6;70.49;54.11;42.04;42.04;69.98;70.49;59;66.25
Jan 5, 2017;10:00 AM;53.13;43.04;43.04;73.03;71.54;53.13;43.04;43.04;69.35;71.54;57;65.5
Jan 5, 2017;11:00 AM;50.06;44.54;44.54;72.6;70.2;50.06;44.54;44.54;69.25;70.2;55.6;66.41
Jan 5, 2017;12:00 PM;49.97;44.56;44.56;72.54;65;49.97;44.56;44.56;66.28;65;55;66.09
Jan 5, 2017;1:00 PM;48.84;44.66;44.66;71.51;63.17;49;44.66;44.66;66.69;63.17;56;66.23
Jan 5, 2017;2:00 PM;50.99;44.99;44.99;71.1;67;50.99;44.99;44.99;66.05;67;56;65.74
Jan 5, 2017;3:00 PM;57.48;56.1;56.1;70.51;70.51;57.48;44.95;56.1;65.92;70.51;58.75;68.43
Jan 5, 2017;4:00 PM;69.7;69.7;69.7;69.7;69.7;69.7;49.86;69.7;67.08;69.7;65.7;68.13
Jan 5, 2017;5:00 PM;73.92;73.92;73.92;74.31;73.92;74.8;68.95;73.92;73.6;73.92;72.91;72.91
Jan 5, 2017;6:00 PM;73.76;71.99;71.99;96.93;69.2;126.6;50.02;71.99;73.08;73.76;70.89;70.89
Jan 5, 2017;7:00 PM;65.15;50.08;50.08;89.53;65.15;65.15;49.7;50.08;70.03;65.15;67.01;67.74
Jan 5, 2017;8:00 PM;64.24;44.89;44.89;73.69;64.24;64.24;44.89;44.89;66.49;64.24;58;60.65
Jan 5, 2017;9:00 PM;43.09;42.05;42.05;71.68;63.3;43.09;42.05;42.05;63;63.3;47.7;47.7
Jan 5, 2017;10:00 PM;53.11;37.22;37.22;66.76;62.6;43.12;36.76;37.22;60.79;62.6;47.43;47.43
Jan 5, 2017;11:00 PM;37.08;33.53;34.65;69.2;65.51;37.08;34.64;34.65;60.51;56;39;39
Jan 6, 2017;12:00 AM;40.84;35.84;35.84;59.58;54.42;40.84;31.25;35.84;57.04;40.84;40.68;40.68
Jan 6, 2017;1:00 AM;41.15;35.54;35.54;53.98;53.28;37.23;30.98;35.54;51.57;41.15;40.1;40.1
Jan 6, 2017;2:00 AM;43.77;34.59;34.59;52.11;50.85;37.44;30.97;34.59;48.88;43.77;38.5;38.5
Jan 6, 2017;3:00 AM;39.97;34.28;34.28;48.14;48.14;38;31.22;34.28;45.37;39.97;37.36;37.36
Jan 6, 2017;4:00 AM;40.81;34.16;34.16;46.74;46.74;36.06;31.38;34.16;44.51;40.81;37.4;37.4
Jan 6, 2017;5:00 AM;43.04;32.59;32.59;48.41;48.41;38.87;31.32;32.59;46.68;43.04;40.1;40.1
Jan 6, 2017;6:00 AM;45.37;34.32;34.32;53.29;53.29;39.46;22.8;34.32;53.06;45.37;48.52;48.52
Jan 6, 2017;7:00 AM;49.49;33.97;49.49;73.28;62;49.49;25.12;48.3;60.64;49.49;58.8;58.8
Jan 6, 2017;8:00 AM;59.92;34;59.92;86.03;59.92;53.09;28.65;58.48;63.02;59.92;61.54;61.54
Jan 6, 2017;9:00 AM;60;32.5;60;76.14;60;66.47;34.05;34.05;62.98;60;60;60
Jan 6, 2017;10:00 AM;60.04;31.98;60.04;72.86;63.1;64.94;34.55;58.6;62.68;60.04;58.73;58.73
Jan 6, 2017;11:00 AM;57.7;31.45;57.7;75.08;59.55;57.7;34.58;56.31;62.66;57.7;57.02;57.02
Jan 6, 2017;12:00 PM;52.86;31.27;45.83;84.9;62;52.86;34.92;34.92;62.04;62;55.96;55.96
Jan 6, 2017;1:00 PM;50.05;30.86;45.78;70.99;54.51;54.99;38.82;38.82;61.63;54.51;53.57;53.57
Jan 6, 2017;2:00 PM;50.94;30.8;35.49;68.53;63.1;53.01;35.49;35.49;61.37;50.94;54.04;54.04
Jan 6, 2017;3:00 PM;54.04;30.57;36.24;65.62;62.61;52.4;36.24;36.24;61.61;54.04;57.7;57.7
Jan 6, 2017;4:00 PM;57.52;30.59;56.14;66.21;63.1;55.06;40.74;56.14;65.03;57.52;65.17;65.17
Jan 6, 2017;5:00 PM;64.91;30.9;55.62;71.01;71.01;66.82;41.89;55.62;68.07;64.91;71.3;71.3
Jan 6, 2017;6:00 PM;59.92;30.71;41.47;169.32;72.3;49;41.47;41.47;67.26;59.92;67.69;67.69
Jan 6, 2017;7:00 PM;57.99;30.37;35.65;107.85;79.9;40;35.65;35.65;63.82;57.99;61.92;61.92
Jan 6, 2017;8:00 PM;43.68;30.28;32.13;85.17;72;43.01;32.13;32.13;61.62;50;50.97;50.97
Jan 6, 2017;9:00 PM;38.46;30.08;31.56;78.07;69.01;38.04;31.56;31.56;59.08;50;40.01;40.45
Jan 6, 2017;10:00 PM;40.94;29.81;30.18;78.57;63.1;42;30.21;30.18;59.74;63.1;37.34;39.22
Jan 6, 2017;11:00 PM;35.89;29.01;29.01;106.13;63.1;39.64;-;29.01;59.1;53;31.8;35.2
Jan 7, 2017;12:00 AM;36.83;29.35;29.35;66;53.26;32.27;-;29.35;61.15;36.83;36;43.67
Jan 7, 2017;1:00 AM;34.37;27.32;28.88;60;52.05;32.14;-;28.88;59.81;34.37;33.5;35.96
Jan 7, 2017;2:00 AM;33.84;26.98;28.28;55.95;51.05;29.22;28.28;28.28;56;33.84;34.5;34.5
Jan 7, 2017;3:00 AM;33.83;26.93;27.84;52;52;28.76;27.84;27.84;51.67;33.83;34;34
Jan 7, 2017;4:00 AM;33.62;27.44;28.04;50.78;50.78;29.56;28.04;28.04;50.29;33.62;33.17;33.17
Jan 7, 2017;5:00 AM;32.96;28.64;28.64;50.74;50.74;29.59;28.64;28.64;50.62;32.96;34;34
Jan 7, 2017;6:00 AM;30.07;29.1;29.1;54.08;54.08;30.07;25.21;29.1;55.02;30.07;33.65;33.65
Jan 7, 2017;7:00 AM;33.58;29.49;29.49;56.28;56.28;28.55;29.49;29.49;58.75;33.58;34;35
Jan 7, 2017;8:00 AM;36.02;29.97;29.97;61.28;61.28;30.96;29.97;29.97;60.36;36.02;37.44;56.36
Jan 7, 2017;9:00 AM;36.86;30.51;30.72;67.2;65.7;36.86;31.39;30.72;62.91;55.51;40.91;60.54
Jan 7, 2017;10:00 AM;36.43;30.69;31.47;73.48;63.1;36.43;31.54;31.47;63.02;63.1;42;60.08
Jan 7, 2017;11:00 AM;39.01;30.74;31.9;70.69;65.7;49.94;31.9;31.9;62.05;65.7;43;59.03
Jan 7, 2017;12:00 PM;39.5;30.72;31.52;70.69;55.6;60.63;32.53;31.52;61.81;55.6;44.1;56.94
Jan 7, 2017;1:00 PM;39.02;30.7;31.32;63.73;61.9;57.44;32.58;31.32;60.45;61.9;41.15;53.92
Jan 7, 2017;2:00 PM;38.6;30.77;31.85;55.09;53.74;52.2;32.54;31.85;59.2;53.74;42.6;52.02
Jan 7, 2017;3:00 PM;39.28;30.92;32.83;53.26;53.26;50.47;32.83;32.83;58.92;53.26;46;56.16
Jan 7, 2017;4:00 PM;46.95;31.15;34.62;59.08;59.08;59.08;34.62;34.62;59.39;59.08;51.5;60.39
Jan 7, 2017;5:00 PM;57.01;31.43;35.32;69.99;69.99;69.76;35.32;35.32;64.55;69.99;57.9;65.28
Jan 7, 2017;6:00 PM;54.02;31.44;34.28;76.52;76.52;57.44;34.28;34.28;66.72;76.52;55.9;67.83
Jan 7, 2017;7:00 PM;46.92;31.18;33.35;78.28;78.28;64.94;33.35;33.35;66.01;78.28;50.6;66.5
Jan 7, 2017;8:00 PM;38.12;31.05;32.67;68.23;68;38.3;32.67;32.67;64.03;68;45.3;64.29
Jan 7, 2017;9:00 PM;35.09;30.96;32.55;60;60;37.44;32.67;32.55;59.99;60;41.55;60.08
Jan 7, 2017;10:00 PM;38.1;30.83;31.84;61.19;60;40.1;31.84;31.84;59.23;60;42.35;44.08
Jan 7, 2017;11:00 PM;34.53;30.6;30.6;66.09;63.1;35.02;30.6;30.6;58.86;47;35;38.16
Jan 8, 2017;12:00 AM;33.86;30.75;30.75;69.2;54.1;35.23;30.75;30.75;55.34;54.1;34.1;36.13
Jan 8, 2017;1:00 AM;34.14;30.64;30.64;61.07;52.41;34.92;30.64;30.64;53.38;34.14;33.5;33.5
Jan 8, 2017;2:00 AM;33.96;30.53;30.53;55.47;52.42;35.58;30.53;30.53;51.54;33.96;33.55;33.55
Jan 8, 2017;3:00 AM;35.01;30.54;30.54;50.22;50.22;36.47;30.54;30.54;46.1;50.22;32.7;32.7
Jan 8, 2017;4:00 AM;36.07;30.63;30.63;47.99;47.99;40.09;30.63;30.63;43.08;47.99;33;33
Jan 8, 2017;5:00 AM;36.07;30.7;30.7;48;48;37.76;30.7;30.7;44.04;48;34.17;34.17
Jan 8, 2017;6:00 AM;36.01;30.77;30.77;47.15;49.69;35.9;29.23;30.77;48.06;49.69;33.8;34.17
Jan 8, 2017;7:00 AM;35.37;30.58;30.58;50.13;50.13;37.71;30.58;30.58;49.49;50.13;34.3;51.5
Jan 8, 2017;8:00 AM;37.29;30.75;30.75;51.3;51.5;39.72;30.75;30.75;52.09;51.5;35.9;57.66
Jan 8, 2017;9:00 AM;39.15;31.09;31.09;54;54;42.6;32.7;31.09;54.28;54;40.5;60.13
Jan 8, 2017;10:00 AM;41.25;35.05;35.05;58.07;55;55.02;35.05;35.05;56.3;55;44;61.02
Jan 8, 2017;11:00 AM;51.93;27.87;35.51;61.28;56.2;51.93;35.51;35.51;57.91;56.2;46.34;61.88
Jan 8, 2017;12:00 PM;45.37;30.96;37.61;67.1;55.1;45.37;37.61;37.61;56.54;55.1;45.4;60.13
Jan 8, 2017;1:00 PM;40.53;30.87;36.96;64.6;56.2;40.53;36.96;36.96;55;56.2;42.28;58.09
Jan 8, 2017;2:00 PM;39.73;30.85;35.14;54.74;54;39.73;35.14;35.14;51.56;54;40.21;59.06
Jan 8, 2017;3:00 PM;42.75;30.96;35.16;53;53;42.75;35.16;35.16;51.15;53;42.1;57.25
Jan 8, 2017;4:00 PM;53.87;31.6;35.63;54.08;54.08;53.7;35.63;35.63;53.71;54.08;48.15;64.35
Jan 8, 2017;5:00 PM;60.95;31.84;35.27;60.95;60.95;60.95;35.27;35.27;60;60.95;56.9;71
Jan 8, 2017;6:00 PM;64.93;31.46;34;70.51;70.51;64.93;34;34;64.32;70.51;57.4;71
Jan 8, 2017;7:00 PM;58.91;31;32.97;75.52;75.52;58.91;32.97;32.97;64.08;75.52;53.69;71
Jan 8, 2017;8:00 PM;50.03;30.83;30.83;73.2;73.2;50.03;31.16;30.83;61.08;73.2;49;68.02
Jan 8, 2017;9:00 PM;39.06;30.95;30.95;68.4;68.4;39.06;32.64;30.95;58.94;68.4;40.44;64.35
Jan 8, 2017;10:00 PM;40.06;30.55;30.55;71.21;63.2;40.06;30.55;30.55;58.91;63.2;43.11;61.52
Jan 8, 2017;11:00 PM;37.09;29.89;29.89;65.88;57.4;37.09;29.89;29.89;56.28;57.4;37.7;57.69
Jan 9, 2017;12:00 AM;40;29.56;29.56;58;55.85;40;-;29.56;59.02;40;38.58;46.37
Jan 9, 2017;1:00 AM;39.05;29.11;29.11;52.9;52.9;39.05;29.11;29.11;53.77;39.05;38.92;40.36
Jan 9, 2017;2:00 AM;39.21;28.99;28.99;50.04;50.04;39.21;28.99;28.99;51.73;39.21;38.38;38.38
Jan 9, 2017;3:00 AM;39.24;29.16;29.16;45.75;45.75;39.24;29.16;29.16;48.55;39.24;37.12;38.55
Jan 9, 2017;4:00 AM;40.26;29.71;29.71;45.02;45.02;36.62;29.71;29.71;48.02;40.26;38.43;44.38
Jan 9, 2017;5:00 AM;43.84;30.41;30.41;52.24;52.24;37.45;-;30.41;50.75;52.24;40.35;56.1
Jan 9, 2017;6:00 AM;58.99;30.77;30.77;65.75;65.75;42.61;34.85;30.77;59.35;65.75;53.68;70.78
Jan 9, 2017;7:00 AM;74.04;31.66;43.12;78.01;78.01;57.67;43.12;43.12;69.98;78.01;72.43;75.44
Jan 9, 2017;8:00 AM;75.49;32.03;44.44;89.78;89.78;58;-;44.44;73.03;89.78;70.3;83.94
Jan 9, 2017;9:00 AM;74.63;31.83;44.92;80;80;67.88;44.92;44.92;73.25;80;71.16;90.03
Jan 9, 2017;10:00 AM;73.97;31.58;45.34;80;80;66.58;45.34;45.34;73.77;80;68;90
Jan 9, 2017;11:00 AM;72;31.35;45.07;80;80;61.98;45.07;45.07;72.01;80;68.5;92.06
Jan 9, 2017;12:00 PM;72.12;31.1;45.12;80;80;60.54;45.12;45.12;69.45;95.12;68;89.81
Jan 9, 2017;1:00 PM;70.09;30.99;46.41;79.89;79.89;56.63;46.41;46.41;69.45;84.81;66.02;85.95
Jan 9, 2017;2:00 PM;67.41;30.95;45.1;78.7;78.7;52.51;45.1;45.1;68.42;78.7;64.54;87.34
Jan 9, 2017;3:00 PM;65.21;30.99;42.85;77;80;50;42.85;42.85;68.26;110;64.44;90.03
Jan 9, 2017;4:00 PM;65.09;31.02;47.85;75.75;80;52.5;47.85;47.85;70.18;80;70;90
Jan 9, 2017;5:00 PM;74.72;30.97;46.41;77.51;79.7;73.45;46.41;46.41;73.91;79.7;70.99;103.5
Jan 9, 2017;6:00 PM;59.94;30.9;43.1;83.87;83.87;38.76;43.1;43.1;74.61;83.87;68.6;94.01
Jan 9, 2017;7:00 PM;52.2;30.79;31.41;80.1;80.1;36.51;41.79;31.41;73.31;97.25;63.51;95
Jan 9, 2017;8:00 PM;39.1;30.5;30.5;77.07;77.07;39.1;39.63;30.5;70.31;77.07;55.35;80.64
Jan 9, 2017;9:00 PM;36.62;30.07;30.07;66.2;66.2;36.62;32.71;30.07;65.94;66.2;42.46;73.94
Jan 9, 2017;10:00 PM;36.08;29.57;29.57;66.6;66.6;36.08;30.54;29.57;65.25;66.6;39.18;69.17
Jan 9, 2017;11:00 PM;32.76;28.83;28.83;65.82;65.82;32.76;28.83;28.83;64.01;65.82;33.1;62.8
